Gene,Non-unique Gene name,Annotation,USDA1021,WSM1022
group_4226,,hypothetical protein,USDA1021_06839,WSM1022_04906
gnl_2,gnl_2,Gluconolactonase,USDA1021_06840,WSM1022_04907
lrp_8,lrp_8,Leucine-responsive regulatory protein,USDA1021_06864,WSM1022_04931
group_4224,,hypothetical protein,USDA1021_06947,WSM1022_05007
group_4223,,hypothetical protein,USDA1021_06808,WSM1022_04867
group_4222,,hypothetical protein,USDA1021_06828,WSM1022_04895
cra,cra,Catabolite repressor/activator,USDA1021_06817,WSM1022_04876
betI_4,betI_4,HTH-type transcriptional regulator BetI,USDA1021_06951,WSM1022_05011
group_4220,,hypothetical protein,USDA1021_06887,WSM1022_04947
iorB_3,iorB_3,Isoquinoline 1-oxidoreductase subunit beta,USDA1021_06945,WSM1022_05005
nicA,nicA,Nicotinate dehydrogenase subunit A,USDA1021_06884,WSM1022_04944
yiaO_2,yiaO_2,23-diketo-L-gulonate-binding periplasmic protein YiaO,USDA1021_06913,WSM1022_04973
lsrB_4,lsrB_4,Autoinducer 2-binding protein LsrB,USDA1021_06816,WSM1022_04875
rbsC_23,rbsC_23,Ribose import permease protein RbsC,USDA1021_06796,WSM1022_04855
group_4218,,hypothetical protein,USDA1021_06904,WSM1022_04964
lsrF,lsrF,3-hydroxy-5-phosphonooxypentane-24-dione thiolase,USDA1021_06800,WSM1022_04859
comR_4,comR_4,HTH-type transcriptional repressor ComR,USDA1021_06838,WSM1022_04905
nanR_8,nanR_8,HTH-type transcriptional repressor NanR,USDA1021_06912,WSM1022_04972
nicB_2,nicB_2,Nicotinate dehydrogenase subunit B,USDA1021_06885,WSM1022_04945
nicB_1,nicB_1,Nicotinate dehydrogenase subunit B,USDA1021_06883,WSM1022_04943
group_4217,,hypothetical protein,USDA1021_06831,WSM1022_04898
yhdN_3,yhdN_3,Aldo-keto reductase YhdN,USDA1021_06798,WSM1022_04857
spuC_2,spuC_2,Putrescine--pyruvate aminotransferase,USDA1021_06866,WSM1022_04933
group_4216,paoC_3,Aldehyde oxidoreductase molybdenum-binding subunit PaoC,USDA1021_06892,WSM1022_04952
group_4215,,hypothetical protein,USDA1021_06956,WSM1022_05019
uxuA,uxuA,Mannonate dehydratase,USDA1021_06847,WSM1022_04914
alkJ_5,alkJ_5,Alcohol dehydrogenase [acceptor],USDA1021_06802,WSM1022_04861
spuC_3,spuC_3,Putrescine--pyruvate aminotransferase,USDA1021_06908,WSM1022_04968
araQ_3,araQ_3,L-arabinose transport system permease protein AraQ,USDA1021_06870,WSM1022_04937
group_4213,,hypothetical protein,USDA1021_06863,WSM1022_04930
group_4212,,L-ribulose 3-epimerase,USDA1021_06812,WSM1022_04871
lsrD_3,lsrD_3,Autoinducer 2 import system permease protein LsrD,USDA1021_06813,WSM1022_04872
group_4210,,hypothetical protein,USDA1021_06843,WSM1022_04910
group_4209,,hypothetical protein,USDA1021_06949,WSM1022_05009
rbsC_24,rbsC_24,Ribose import permease protein RbsC,USDA1021_06814,WSM1022_04873
group_4208,,hypothetical protein,USDA1021_06905,WSM1022_04965
fliY_5,fliY_5,L-cystine-binding protein FliY,USDA1021_06861,WSM1022_04928
group_4207,,hypothetical protein,USDA1021_06830,WSM1022_04897
oppF_4,oppF_4,Oligopeptide transport ATP-binding protein OppF,USDA1021_06821,WSM1022_04880
group_4206,,2-haloacrylate reductase,USDA1021_06899,WSM1022_04959
group_4205,,hypothetical protein,USDA1021_06953,WSM1022_05013
divK_2,divK_2,Polar-differentiation response regulator DivK,USDA1021_06930,WSM1022_04990
group_4204,,hypothetical protein,USDA1021_06950,WSM1022_05010
cytR_6,cytR_6,HTH-type transcriptional repressor CytR,USDA1021_06921,WSM1022_04981
ugpC_14~~~ugpC_10,ugpC_14;ugpC_10,sn-glycerol-3-phosphate import ATP-binding protein UgpC,USDA1021_06959,WSM1022_05022
lsrR_2,lsrR_2,Transcriptional regulator LsrR,USDA1021_06797,WSM1022_04856
ald2_2,ald2_2,5-(methylthio)ribulose-1-phosphate aldolase,USDA1021_06810,WSM1022_04869
iolG_15,iolG_15,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,USDA1021_06957,WSM1022_05020
group_4202,,hypothetical protein,USDA1021_06845,WSM1022_04912
siaM_3,siaM_3,Sialic acid TRAP transporter large permease protein SiaM,USDA1021_06849,WSM1022_04916
group_4201,,hypothetical protein,USDA1021_06804,WSM1022_04863
nanR_5,nanR_5,HTH-type transcriptional repressor NanR,USDA1021_06820,WSM1022_04879
btuD_19~~~btuD_13,btuD_19;btuD_13,Vitamin B12 import ATP-binding protein BtuD,USDA1021_06822,WSM1022_04881
doeB,doeB,N-alpha-acetyl-L-24-diaminobutyric acid deacetylase,USDA1021_06854,WSM1022_04921
group_4199,,UDP-glucose 4-epimerase,USDA1021_06835,WSM1022_04902
group_4198,,hypothetical protein,USDA1021_06833,WSM1022_04900
group_4197,,hypothetical protein,USDA1021_06958,WSM1022_05021
group_4196,,hypothetical protein,USDA1021_06927,WSM1022_04987
group_4193,,hypothetical protein,USDA1021_06914,WSM1022_04974
group_4192,,hypothetical protein,USDA1021_06900,WSM1022_04960
group_4191,,hypothetical protein,USDA1021_06846,WSM1022_04913
glnQ_8,glnQ_8,Glutamine transport ATP-binding protein GlnQ,USDA1021_06862,WSM1022_04929
maiA_2,maiA_2,Maleate isomerase,USDA1021_06858,WSM1022_04925
rspR_8,rspR_8;,HTH-type transcriptional repressor RspR;hypothetical protein,USDA1021_06964,WSM1022_05027
rbsB_8,rbsB_8,Ribose import binding protein RbsB,USDA1021_06938,WSM1022_04998
rcsC_13,rcsC_13,Sensor histidine kinase RcsC,USDA1021_06931,WSM1022_04991
group_4190,,hypothetical protein,USDA1021_06803,WSM1022_04862
cysQ_5~~~cysQ_4,cysQ_5;cysQ_4,3'(2')5'-bisphosphate nucleotidase CysQ,USDA1021_06925,WSM1022_04985
group_4189,,hypothetical protein,USDA1021_06923,WSM1022_04983
rafR_2,rafR_2,HTH-type transcriptional regulator RafR,USDA1021_06963,WSM1022_05026
glpD,glpD,Aerobic glycerol-3-phosphate dehydrogenase,USDA1021_06799,WSM1022_04858
group_4188,,hypothetical protein,USDA1021_06901,WSM1022_04961
group_4187,,hypothetical protein,USDA1021_06940,WSM1022_05000
gst,gst,Glutathione S-transferase GST-4.5,USDA1021_06868,WSM1022_04935
group_4186,,hypothetical protein,USDA1021_06952,WSM1022_05012
nanR_7,nanR_7,HTH-type transcriptional repressor NanR,USDA1021_06895,WSM1022_04955
arcB_3,;arcB_3,Delta(1)-pyrroline-2-carboxylate reductase,USDA1021_06856,WSM1022_04923
group_4185,,hypothetical protein,USDA1021_06829,WSM1022_04896
ttgB,ttgB,putative efflux pump membrane transporter TtgB,USDA1021_06942,WSM1022_05002
rhaS_7,rhaS_7,HTH-type transcriptional activator RhaS,USDA1021_06943,WSM1022_05003
gsiC_17,gsiC_17,Glutathione transport system permease protein GsiC,USDA1021_06823,WSM1022_04882
group_4184,,RutC family protein,USDA1021_06911,WSM1022_04971
group_4182,,hypothetical protein,USDA1021_06873,WSM1022_04940
oiaX,oiaX,3-oxo-isoapionate-4-phosphate decarboxylase,USDA1021_06894,WSM1022_04954
gshAB,gshAB,Glutathione biosynthesis bifunctional protein GshAB,USDA1021_06818,WSM1022_04877
tdcF,tdcF,Putative reactive intermediate deaminase TdcF,USDA1021_06910,WSM1022_04970
ugpA,ugpA,sn-glycerol-3-phosphate transport system permease protein UgpA,USDA1021_06871,WSM1022_04938
group_4180,,hypothetical protein,USDA1021_06926,WSM1022_04986
group_4179,,D-arabitol-phosphate dehydrogenase,USDA1021_06867,WSM1022_04934
gabD_3~~~gabD_2,gabD_3;gabD_2,Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,USDA1021_06865,WSM1022_04932
araE,araE,Alpha-ketoglutaric semialdehyde dehydrogenase 1,USDA1021_06909,WSM1022_04969
iorA_2,iorA_2,Isoquinoline 1-oxidoreductase subunit alpha,USDA1021_06944,WSM1022_05004
group_4178,,putative protein,USDA1021_06922,WSM1022_04982
group_4177,,hypothetical protein,USDA1021_06794,WSM1022_04853
nanR_6,nanR_6,HTH-type transcriptional repressor NanR,USDA1021_06852,WSM1022_04919
group_4176,,hypothetical protein,USDA1021_06825,WSM1022_04884
fucK_2,fucK_2,L-fuculokinase,USDA1021_06811,WSM1022_04870
kdpA,kdpA,Potassium-transporting ATPase potassium-binding subunit,USDA1021_03665,WSM1022_03555
kdpD,kdpD,Sensor protein KdpD,USDA1021_03668,WSM1022_03552
ant1,ant1,Streptomycin 3''-adenylyltransferase,USDA1021_03673,WSM1022_03547
iolG_9,iolG_9,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,USDA1021_03674,WSM1022_03546
pgrR_6~~~pgrR_5,pgrR_6;pgrR_5,HTH-type transcriptional regulator PgrR,USDA1021_03664;USDA1021_03663,WSM1022_03566
nagC_3,nagC_3,N-acetylglucosamine repressor,USDA1021_03675,WSM1022_03541
cmoA,cmoA,Carboxy-S-adenosyl-L-methionine synthase,USDA1021_03659,WSM1022_03570
kdpC,kdpC,Potassium-transporting ATPase KdpC subunit,USDA1021_03667,WSM1022_03553
uvrD,uvrD,DNA helicase II,USDA1021_03671,WSM1022_03549
group_4170,,hypothetical protein,USDA1021_03676,WSM1022_03540
group_4169,,hypothetical protein,USDA1021_03672,WSM1022_03548
group_4168,,hypothetical protein,USDA1021_03661,WSM1022_03568
kdpE,kdpE,Transcriptional regulatory protein KdpE,USDA1021_03669,WSM1022_03551
kdpB,kdpB,Potassium-transporting ATPase ATP-binding subunit,USDA1021_03666,WSM1022_03554
group_4165,,hypothetical protein,USDA1021_03670,WSM1022_03550
paoA_1,paoA_1,Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA,USDA1021_03658,WSM1022_03571
group_4164,,putative oxidoreductase,USDA1021_03662,WSM1022_03567
group_4163,,hypothetical protein,USDA1021_03660,WSM1022_03569
maiA_1,maiA_1;,Maleate isomerase;hypothetical protein,USDA1021_04011;USDA1021_04012,WSM1022_03935
group_4161,,hypothetical protein,USDA1021_00257,WSM1022_01986
group_4160,,hypothetical protein,USDA1021_00258,WSM1022_01985
group_4159,,hypothetical protein,USDA1021_04098,WSM1022_04011
group_4158,,hypothetical protein,USDA1021_05020,WSM1022_03607
group_4157,,hypothetical protein,USDA1021_00259,WSM1022_01984
group_4156,,hypothetical protein,USDA1021_03476,WSM1022_03831
group_4155,,hypothetical protein,USDA1021_03813,WSM1022_04688
group_4154,,ISNCY family transposase ISRm17;ISNCY family transposase ISRsp17,USDA1021_03543,WSM1022_03813
group_4153,,hypothetical protein,USDA1021_06763,WSM1022_06335
group_4152,,hypothetical protein,USDA1021_05016,WSM1022_03610
group_4151,,putative flavin reductase,USDA1021_04671;USDA1021_04670,WSM1022_04535
group_4150,,hypothetical protein,USDA1021_04974,WSM1022_03663
group_4149,,hypothetical protein,USDA1021_06762,WSM1022_06334
group_4148,,putative protein,USDA1021_05015,WSM1022_03611
group_4147,,hypothetical protein,USDA1021_05014,WSM1022_03612
group_4146,,hypothetical protein,USDA1021_06659,WSM1022_06265
group_4145,,hypothetical protein,USDA1021_04191;USDA1021_04192,WSM1022_04093
group_4144,,hypothetical protein,USDA1021_06059,WSM1022_05670
group_4143,,hypothetical protein,USDA1021_03466,WSM1022_03842
ros_2,ros_2,Transcriptional regulatory protein ros,USDA1021_03467,WSM1022_03841
group_4142,,hypothetical protein,USDA1021_04099,WSM1022_04014
group_4141,,hypothetical protein,USDA1021_04100,WSM1022_04015
fixJ_2~~~fixJ_3,fixJ_2;fixJ_3,Transcriptional regulatory protein FixJ,USDA1021_04669,WSM1022_04534
group_4140,,hypothetical protein,USDA1021_01792,WSM1022_00229
ligD_3~~~ligD_8,ligD_3;ligD_8,Multifunctional non-homologous end joining protein LigD,USDA1021_06648,WSM1022_06255
group_4139,,hypothetical protein,USDA1021_06658,WSM1022_06264
group_4138,,hypothetical protein,USDA1021_04973,WSM1022_03664
group_4137,,hypothetical protein,USDA1021_06761,WSM1022_06332
arg,arg,Arginase,USDA1021_04234,WSM1022_04133
group_4136,,hypothetical protein,USDA1021_06766,WSM1022_06337
group_4135,,hypothetical protein,USDA1021_00287,WSM1022_01954
recD2_2,recD2_2,ATP-dependent RecD-like DNA helicase,USDA1021_04569,WSM1022_04439
selD,selD,Selenide water dikinase,USDA1021_05013,WSM1022_03613
acpP_4~~~acpP_3,acpP_4;acpP_3,Acyl carrier protein AcpP,USDA1021_06634,WSM1022_06223
kdgR_1,kdgR_1;,Pectin degradation repressor protein KdgR;hypothetical protein,USDA1021_04017,WSM1022_03941
group_4134,,hypothetical protein,USDA1021_04262,WSM1022_04146
group_4133,,IS630 family transposase ISRm2011-2;hypothetical protein,USDA1021_05972,WSM1022_04749
group_4132,,ISNCY family transposase ISRel10;hypothetical protein,USDA1021_04541,WSM1022_04413
group_4131,,hypothetical protein,USDA1021_06660,WSM1022_06266
group_4130,,hypothetical protein,USDA1021_04193,WSM1022_04094
group_4129,,hypothetical protein,USDA1021_03695,WSM1022_04836
ltxB,ltxB;,Leukotoxin export ATP-binding protein LtxB;hypothetical protein,USDA1021_01318,WSM1022_00886
katG,katG,Catalase-peroxidase,USDA1021_05044,WSM1022_03587
group_4128,,hypothetical protein,USDA1021_06057,WSM1022_05669
group_4127,,hypothetical protein,USDA1021_01793,WSM1022_00228
arcB_1,arcB_1,Delta(1)-pyrroline-2-carboxylate reductase,USDA1021_04143,WSM1022_04047
group_4126,,hypothetical protein,USDA1021_03470,WSM1022_03836
group_4125,,hypothetical protein,USDA1021_03468,WSM1022_03840
group_4124,,hypothetical protein,USDA1021_04101,WSM1022_04016
group_4123,,hypothetical protein,USDA1021_04957,WSM1022_03681
group_4122,,hypothetical protein,USDA1021_04958,WSM1022_03680
group_4121,,hypothetical protein,USDA1021_05023,WSM1022_03606
gudX,gudX,Glucarate dehydratase-related protein,USDA1021_05005,WSM1022_03630
group_4120,,hypothetical protein,USDA1021_04959,WSM1022_03679
group_4119,,hypothetical protein,USDA1021_05024,WSM1022_03605
yihS,yihS,Sulfoquinovose isomerase,USDA1021_05004,WSM1022_03631
group_4118,,hypothetical protein,USDA1021_04580,WSM1022_04448
group_4117,,hypothetical protein,USDA1021_04571,WSM1022_04440
group_4116,,hypothetical protein,USDA1021_04960,WSM1022_03678
selB,selB,Selenocysteine-specific elongation factor,USDA1021_05025,WSM1022_03604
fixK_3,fixK_3,Nitrogen fixation regulation protein FixK,USDA1021_04667,WSM1022_04533
group_4115,,hypothetical protein,USDA1021_04500,WSM1022_04375
group_4114,;lutR_5,hypothetical protein;HTH-type transcriptional regulator LutR,USDA1021_04278,WSM1022_04155
bacC_3,bacC_3,Dihydroanticapsin 7-dehydrogenase,USDA1021_05003,WSM1022_03632
group_4113,,hypothetical protein,USDA1021_04581,WSM1022_04449
group_4112,,hypothetical protein,USDA1021_04107,WSM1022_04022
fnr~~~anr,fnr;anr,Fumarate and nitrate reduction regulatory protein;Transcriptional activator protein Anr,USDA1021_04501,WSM1022_04376
glnH_3~~~glnH_2,glnH_3;glnH_2,Glutamine-binding periplasmic protein,USDA1021_06622,WSM1022_06180
group_4111,,hypothetical protein,USDA1021_04106,WSM1022_04021
group_4110,,hypothetical protein,USDA1021_06672,WSM1022_06246
group_4109,,hypothetical protein,USDA1021_04572,WSM1022_04441
group_4108,,hypothetical protein,USDA1021_06732,WSM1022_06303
group_4107,,hypothetical protein,USDA1021_04961,WSM1022_03677
petC_2,petC_2,Cytochrome b6-f complex iron-sulfur subunit,USDA1021_04308,WSM1022_04177
btaE,;btaE,hypothetical protein;Autotransporter adhesin BtaE,USDA1021_01790,WSM1022_00230
esiB_1~~~esiB_2,esiB_1;esiB_2,Secretory immunoglobulin A-binding protein EsiB,USDA1021_05026,WSM1022_03603
fixN_3~~~fixN_2,fixN_3;fixN_2,Cytochrome c oxidase subunit 1  bacteroid,USDA1021_04666,WSM1022_04532
copA_2~~~copA,copA_2;copA,Copper-exporting P-type ATPase,USDA1021_04499,WSM1022_04374
pepT_1~~~pepT_2,pepT_1;pepT_2,Peptidase T,USDA1021_06650,WSM1022_06256
artM_4~~~glnQ_6,artM_4;glnQ_6,Arginine transport ATP-binding protein ArtM;Glutamine transport ATP-binding protein GlnQ,USDA1021_06623,WSM1022_06181
group_4106,,hypothetical protein,USDA1021_04279,WSM1022_04156
gno_4,gno_4;,Gluconate 5-dehydrogenase;Sulfoquinovose 1-dehydrogenase,USDA1021_04994,WSM1022_03641
yjgH,yjgH,RutC family protein YjgH,USDA1021_04985,WSM1022_03650
group_4105,,6-deoxy-6-sulfogluconolactonase,USDA1021_05002,WSM1022_03633
group_4104,,hypothetical protein,USDA1021_04582,WSM1022_04450
group_4103,,hypothetical protein,USDA1021_04108,WSM1022_04023
group_4102,,hypothetical protein,USDA1021_05007,WSM1022_03618
group_4101,,hypothetical protein,USDA1021_04481,WSM1022_04356
group_4100,,hypothetical protein,USDA1021_06656,WSM1022_06263
group_4099,,hypothetical protein,USDA1021_04502,WSM1022_04377
group_4098,,hypothetical protein,USDA1021_06621,WSM1022_06179
group_4097,,hypothetical protein,USDA1021_04798,WSM1022_04659
group_4096,,hypothetical protein,USDA1021_04105,WSM1022_04020
group_4095,,hypothetical protein,USDA1021_04180,WSM1022_04086
patA_2~~~patA_1,patA_2;patA_1,Peptidoglycan O-acetyltransferase,USDA1021_06673,WSM1022_06247
group_4094,,hypothetical protein,USDA1021_05896,WSM1022_01921
group_4093,,hypothetical protein,USDA1021_04573,WSM1022_04442
msbA_3,msbA_3,Lipid A export ATP-binding/permease protein MsbA,USDA1021_06733,WSM1022_06304
groL5_1,groL5_1,60 kDa chaperonin 5,USDA1021_04966,WSM1022_03672
des,des,Fatty acid desaturase,USDA1021_04962,WSM1022_03676
group_4092,,hypothetical protein,USDA1021_04309,WSM1022_04178
group_4091,,hypothetical protein,USDA1021_06745,WSM1022_06316
group_4090,,hypothetical protein,USDA1021_05576,WSM1022_00361
group_4089,,hypothetical protein,USDA1021_01789,WSM1022_00231
group_4088,,hypothetical protein,USDA1021_00303,WSM1022_01939
cbpA_2,cbpA_2,Curved DNA-binding protein,USDA1021_04972,WSM1022_03666
yphB,yphB,putative protein YphB,USDA1021_04993,WSM1022_03642
virB6,virB6,Type IV secretion system protein VirB6,USDA1021_04473,WSM1022_04317
selA,selA,L-seryl-tRNA(Sec) selenium transferase,USDA1021_05027,WSM1022_03602
group_4087,,hypothetical protein,USDA1021_06759,WSM1022_06330
group_4086,,hypothetical protein,USDA1021_06744,WSM1022_06315
group_4085,,hypothetical protein,USDA1021_05627,WSM1022_00412
group_4084,,hypothetical protein,USDA1021_04986,WSM1022_03649
arnC_1,;arnC_1,hypothetical protein;Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,USDA1021_04606,WSM1022_04473
fixP_2,fixP_2,Cbb3-type cytochrome c oxidase subunit FixP,USDA1021_04790,WSM1022_04651
nrsF,;nrsF,hypothetical protein;Anti-sigma-F factor NrsF,USDA1021_06778,WSM1022_06349
group_4083,,hypothetical protein,USDA1021_04870,WSM1022_03789
group_4082,,hypothetical protein,USDA1021_04665,WSM1022_04531
group_4081,,hypothetical protein,USDA1021_04498,WSM1022_04373
group_4080,,hypothetical protein,USDA1021_06651,WSM1022_06257
btuD_12~~~gsiA_8,btuD_12;gsiA_8,Vitamin B12 import ATP-binding protein BtuD;Glutathione import ATP-binding protein GsiA,USDA1021_04285,WSM1022_04162
tcyB_3,;tcyB_3,hypothetical protein;L-cystine transport system permease protein TcyB,USDA1021_06624,WSM1022_06182
hyuA_3,hyuA_3;,Hydantoin racemase;hypothetical protein,USDA1021_04280,WSM1022_04157
frcA_5~~~frcA_4,frcA_5;frcA_4,Fructose import ATP-binding protein FrcA,USDA1021_04995,WSM1022_03640
group_4079,,hypothetical protein,USDA1021_06245,WSM1022_05806
group_4078,,hypothetical protein,USDA1021_04984,WSM1022_03651
recD2_3,recD2_3,ATP-dependent RecD-like DNA helicase,USDA1021_06632,WSM1022_06190
fliC,fliC,Flagellin,USDA1021_05632,WSM1022_00413
rspR_4~~~rspR_1,rspR_4;rspR_1,HTH-type transcriptional repressor RspR,USDA1021_05001,WSM1022_03634
group_4077,,hypothetical protein,USDA1021_04583,WSM1022_04451
group_4076,,hypothetical protein,USDA1021_04846,WSM1022_04725
pbpF,pbpF,Penicillin-binding protein 1F,USDA1021_04109,WSM1022_04024
group_4075,,hypothetical protein,USDA1021_01939,WSM1022_00078
qorA_2,qorA_2,Quinone oxidoreductase 1,USDA1021_05008,WSM1022_03617
ade,ade,Adenine deaminase,USDA1021_04232,WSM1022_04132
group_4074,,hypothetical protein,USDA1021_00189,WSM1022_02050
napF,napF,Ferredoxin-type protein NapF,USDA1021_04482,WSM1022_04357
group_4073,,hypothetical protein,USDA1021_01565,WSM1022_00722
group_4072,,hypothetical protein,USDA1021_04801,WSM1022_04661
group_4071,,hypothetical protein,USDA1021_04799;USDA1021_04800,WSM1022_04660
group_4070,,hypothetical protein,USDA1021_06636,WSM1022_06226
group_4069,,IS21 family transposase ISPpu7;hypothetical protein,USDA1021_06684,WSM1022_03847;WSM1022_03846
group_4068,,hypothetical protein,USDA1021_06066,WSM1022_05675
nepI_2~~~nepI_1,nepI_2;nepI_1,Purine ribonucleoside efflux pump NepI,USDA1021_04368,WSM1022_04237
group_4067,hbpA_3,Heme-binding protein A,USDA1021_06655,WSM1022_06262
group_4066,,N-acetylgalactosamine-6-O-sulfatase;hypothetical protein,USDA1021_04560,WSM1022_04429
sbmA,sbmA,Peptide antibiotic transporter SbmA,USDA1021_06192,WSM1022_05751
group_4065,,hypothetical protein,USDA1021_04503,WSM1022_04378
purR_3~~~degA_2,purR_3;degA_2,HTH-type transcriptional repressor PurR;HTH-type transcriptional regulator DegA,USDA1021_06529;USDA1021_06528,WSM1022_06085
pgdA,pgdA,Peptidoglycan deacetylase,USDA1021_06620,WSM1022_06178
group_4064,,hypothetical protein,USDA1021_05989;USDA1021_05988,WSM1022_05600
nagC_1~~~nagC_2,nagC_1;nagC_2,N-acetylglucosamine repressor,USDA1021_02395,WSM1022_03152
