Mt5.0 (r1.7) locus tag,ACRONYM,new locus_tag (r1.7),DESCRIPTION,Publication,ID Mt5.0 (r1.6),ID Mt4.0,ID Mt20120830,Affymetrix probe set,Nimblegen probe
MtrunA17_Chr1g0201311,ASHH1-2,#N/A,ASHH1-like Histone-lysine N-methyltransferase,,MtrunA17Chr1g0201311,Medtr1g098000,Mt0027_10098,#N/A,Medtr_v1_007320
MtrunA17_Chr3g0125251,ASHH2-like,#N/A,ASHH2-like Histone-lysine N-methyltransferase,,MtrunA17Chr3g0125251,Medtr3g088625,Mt0006_10053,Mtr.44858.1.S1_at,Medtr_v1_068570
MtrunA17_Chr6g0477001,ASHH3-like,#N/A,ASHH3-like Histone-lysine N-methyltransferase,,MtrunA17Chr6g0477001,Medtr6g059310,Mt0054_10043,Mtr.1910.1.S1_at,Medtr_v1_039525
MtrunA17_Chr3g0115061,ASHR1-like ,#N/A,ASHR1-like Histone-lysine N-methyltransferase,,MtrunA17Chr3g0115061,Medtr3g073000,Mt0006_00739,Mtr.12009.1.S1_at,Medtr_v1_017866
MtrunA17_Chr5g0409461,ASHR2-1,#N/A,ASHR2-like Histone-lysine N-methyltransferase,,MtrunA17Chr5g0409461,Medtr5g027020,Mt0005_01106,Mtr.11801.1.S1_at,Medtr_v1_031293
MtrunA17_Chr8g0375381,ASHR2-2,#N/A,ASHR2-like Histone-lysine N-methyltransferase,,MtrunA17Chr8g0375381,#N/A,Mt0020_00482,#N/A,Medtr_v1_068223
MtrunA17_Chr2g0308381,AtCOBRA-like,#N/A, extracellular glycosyl-phosphatidyl inositol-anchored protein family,,MtrunA17Chr2g0308381,Medtr2g462010,Mt0072_10022,Mtr.43359.1.S1_at,Medtr_v1_076882
MtrunA17_Chr6g0457421,AtCYP735A1-like,#N/A,cytokinin biosynthesis (CK hydroxylase),,MtrunA17Chr6g0457421,Medtr6g017325,Mt0172_10018,#N/A,Medtr_v1_090446
MtrunA17_Chr7g0215181,AtCYP735A2-like,#N/A,cytokinin biosynthesis (CK hydroxylase),,MtrunA17Chr7g0215181,Medtr7g006900,Mt0021_00118,Mtr.35402.1.S1_at,Medtr_v1_099129
MtrunA17_Chr5g0401681,AtCYP81F2-like,#N/A,cytochrome P450,,MtrunA17Chr5g0401681,Medtr5g016410,Mt0005_00555,Mtr.8605.1.S1_at,Medtr_v1_030378
MtrunA17_Chr1g0184161,AtDMR6-like,#N/A,DOWNY MILDEW RESISTANCE6,PMID:25527707,MtrunA17Chr1g0184161,Medtr1g070135,Mt0004_10975,Mtr.42668.1.S1_at,Medtr_v1_077487
MtrunA17_Chr4g0069001,MtDRM3,#N/A, (cytosine-5)-methyltransferase 3 -like,"P. Gamas, unpublished",MtrunA17Chr4g0069001,Medtr4g123600,Mt0001_00566,Mtr.1620.1.S1_at,#N/A
MtrunA17_Chr4g0059551,AtE2Fe-like,#N/A,E2F transcription factor-like (endoreduplication regulator),,MtrunA17Chr4g0059551,Medtr4g106540,Mt0001_01224,Mtr.17064.1.S1_s_at,Medtr_v1_026624
MtrunA17_Chr4g0063841,AtEBF1-like,#N/A,EIN3-binding F box protein 1 -like,,MtrunA17Chr4g0063841,Medtr4g114640,Mt0001_10924,Mtr.6769.1.S1_at,#N/A
MtrunA17_Chr5g0417001,AtFEZ-like,#N/A,NAC domain protein (root cap formation),PMID:24483147,MtrunA17Chr5g0417001,Medtr5g040420,Mt0012_10340,#N/A,Medtr_v1_032365
MtrunA17_Chr2g0310121,AtGA2-like,#N/A,Ent-kaur-16-ene synthase (gibberellin biosynthesis),,MtrunA17Chr2g0310121,Medtr2g064295,Mt0084_10012,Mtr.30896.1.S1_at,Medtr_v1_071495
MtrunA17_Chr2g0334021,AtGA3-like,#N/A,Ent-kaurene oxidase (gibberellin biosynthesis),,MtrunA17Chr2g0334021,Medtr2g105360,Mt0016_10025,Mtr.38633.1.S1_at,Medtr_v1_002084
MtrunA17_Chr2g0331581,AtGL2-like,#N/A,GLABRA 2-like Homeobox-leucine zipper protein ,,MtrunA17Chr2g0331581,Medtr2g101720,Mt0016_10197,Mtr.28737.1.S1_at,Medtr_v1_013675
MtrunA17_Chr7g0273591,AtHASTY-like,#N/A,HST (nuclear export of microRNAs),,MtrunA17Chr7g0273591,Medtr7g114260,Mt0036_10162,Mtr.16600.1.S1_at,Medtr_v1_046890
MtrunA17_Chr2g0316861,AtHPY2-like,#N/A,HIGH PLOIDY2 (control of endoreduplication),,MtrunA17Chr2g0316861,Medtr2g078640,Mt0027_00383,Mtr.39796.1.S1_at,Medtr_v1_069424
MtrunA17_Chr4g0073741,AtHSP70-like,#N/A,heat shock protein,,MtrunA17Chr4g0073741,Medtr4g130540,Mt0001_00230,Mtr.19279.1.S1_at,Medtr_v1_027908
MtrunA17_Chr3g0132821,AtHYL1-like,#N/A,HYPONASTIC LEAVES 1 (dsRNA-binding domain-like superfamily protein),,MtrunA17Chr3g0132821,Medtr3g100120,Mt0007_10584,Mtr.13074.1.S1_a_at,Medtr_v1_019551
MtrunA17_Chr1g0211691,AtIBM1-like,#N/A,INCREASE IN BONSAI METHYLATION 1 (Lysine-specific demethylase),,MtrunA17Chr1g0211691,Medtr1g114130,Mt0029_00229,Mtr.16718.1.S1_at,#N/A
MtrunA17_Chr7g0237171,AtICK6-like,#N/A,  inhibitor/interactor with cyclin-dependent kinase; Kip-related CDK inhibitor,,MtrunA17Chr7g0237171,Medtr7g057920,Mt0003_00987,Mtr.38532.1.S1_at,Medtr_v1_088138
MtrunA17_Chr5g0395361,AtILP1-like,#N/A,increased level of ploidy 1,,MtrunA17Chr5g0395361,Medtr5g007520,Mt0005_10144,Mtr.1452.1.S1_at,Medtr_v1_029611
MtrunA17_Chr4g0005201,AtIMK2-like,#N/A, inflorescence meristem receptor-like kinase 2,,MtrunA17Chr4g0005201,Medtr4g014070,Mt0045_10209,Mtr.33539.1.S1_at,Medtr_v1_022435
MtrunA17_Chr2g0303101,AtJMJ14-like,#N/A,jumonji 14-like; histone H3K4 demethylase,,MtrunA17Chr2g0303101,Medtr2g047130,Mt0047_10038,Mtr.28200.1.S1_at,Medtr_v1_000925
MtrunA17_Chr8g0343011,AtLOX1-like,#N/A,"lipoxygenase-like, JA-inducible in Mt",PMID:31025899,MtrunA17Chr8g0343011,Medtr8g018690,Mt0028_10098,Mtr.50430.1.S1_at,
MtrunA17_Chr8g0343011,AtLOX1-like,#N/A,"lipoxygenase-like, JA-inducible in Mt",PMID:31025899,MtrunA17Chr8g0343011,Medtr8g018690,Mt0028_10098,Mtr.50430.1.S1_at,Medtr_v1_048776
MtrunA17_Chr6g0451001,AtMBD9-like,#N/A,methyl-CpG-binding domain protein,,MtrunA17Chr6g0451001,Medtr6g007650,Mt0025_10110,Mtr.32660.1.S1_at,Medtr_v1_002464
MtrunA17_Chr2g0295371,AtPR-1-like,#N/A,"pathogenesis-related protein 1, SA-inducible in Mt",PMID:31025899,MtrunA17Chr2g0295371,Medtr2g435490,Mt0018_00484,Mtr.31096.1.S1_at,#N/A
MtrunA17_Chr4g0024411,AtSAG12-like,#N/A,senescence-associated gene 12,,MtrunA17Chr4g0024411,Medtr4g047610,Mt0092_00078,Mtr.27782.1.S1_at,Medtr_v1_023736
MtrunA17_Chr2g0277671,AtSAG18-like,#N/A,senescence-associated gene 18,,MtrunA17Chr2g0277671,Medtr2g006770,Mt0023_00410,Mtr.33590.1.S1_s_at,Medtr_v1_009060
MtrunA17_Chr1g0187961,AtSHY2-like,#N/A,suppressor of HY2-like; Auxin-responsive protein IAA3  (in situ hybridization PMID 24483147),PMID:24483147,MtrunA17Chr1g0187961,Medtr1g076270,Mt0004_01131,Mtr.10432.1.S1_at,Medtr_v1_007137
MtrunA17_Chr7g0221611,ATX1-like ,#N/A,ATX1-like Histone-lysine N-methyltransferase,,MtrunA17Chr7g0221611,Medtr7g021365,Mt0035_10048,Mtr.31798.1.S1_at,Medtr_v1_042366
MtrunA17_Chr7g0275611,ATX3-like 1,#N/A,ATX3-like Histone-lysine N-methyltransferase,,MtrunA17Chr7g0275611,Medtr7g117355,Mt0036_10292,Mtr.28709.1.S1_at,Medtr_v1_047080
MtrunA17_Chr8g0347071,ATX3-like 2,#N/A,ATX3-like Histone-lysine N-methyltransferase,,MtrunA17Chr8g0347071,Medtr8g027725,Mt0046_10150,Mtr.1313.1.S1_at,Medtr_v1_003594
MtrunA17_Chr1g0147121,ATX4-like 1,#N/A,ATX4-like Histone-lysine N-methyltransferase,,MtrunA17Chr1g0147121,Medtr1g008230,Mt0002_00065,Mtr.44834.1.S1_at,Medtr_v1_004014
MtrunA17_Chr3g0126701,ATX4-like 2,#N/A,ATX4-like Histone-lysine N-methyltransferase,,MtrunA17Chr3g0126701,Medtr3g091310,Mt0007_10155,Mtr.28745.1.S1_s_at,Medtr_v1_018935
MtrunA17_Chr2g0322871,ATXR2-like,#N/A,ATXR2-like Histone-lysine N-methyltransferase,,MtrunA17Chr2g0322871,Medtr2g088820,Mt0019_00375,Mtr.2483.1.S1_at,Medtr_v1_012983
MtrunA17_Chr1g0176091,ATXR4-like ,#N/A,ATXR4-like Histone-lysine N-methyltransferase,,MtrunA17Chr1g0176091,Medtr1g054665,Mt0053_10032,#N/A,Medtr_v1_088218
MtrunA17_Chr3g0129881,ATXR5-like ,#N/A,ATXR5-like Histone-lysine N-methyltransferase,,MtrunA17Chr3g0129881,Medtr3g095840,Mt0007_00391,Mtr.17926.1.S1_at,Medtr_v1_019250
MtrunA17_Chr1g0146731,ATXR6-1,#N/A,ATXR6-like Histone-lysine N-methyltransferase,,MtrunA17Chr1g0146731,Medtr1g007670,Mt0002_00037,Mtr.14445.1.S1_at,Medtr_v1_003970
MtrunA17_Chr1g0146761,ATXR6-2,#N/A,ATXR6-like Histone-lysine N-methyltransferase,,MtrunA17Chr1g0146761,Medtr1g007700,Mt0002_00040,Mtr.17578.1.S1_at,Medtr_v1_000970
MtrunA17_Chr7g0272801,AXR4-like,#N/A,AUXIN RESPONSE 4 ,,MtrunA17Chr7g0272801,Medtr7g113420,Mt0036_10110,Mtr.26902.1.S1_s_at,Medtr_v1_046809
MtrunA17_Chr5g0401921,CLF-like,#N/A, Histone-lysine N-methyltransferase,,MtrunA17Chr5g0401921,Medtr5g016870,Mt0005_00578,Mtr.45194.1.S1_at,Medtr_v1_030414
MtrunA17_Chr3g0114161,CLSY-like -1,#N/A,SNF2 domain-containing protein CLASSY 1,,MtrunA17Chr3g0114161,Medtr3g071860,Mt0006_00817,Mtr.21259.1.S1_at,Medtr_v1_017769
MtrunA17_Chr7g0224051,CLSY-like -2,#N/A,SNF2 domain-containing protein CLASSY 1/chromatin remodeling 38,,MtrunA17Chr7g0224051,Medtr7g026650,Mt0035_10282,#N/A,Medtr_v1_042717
MtrunA17_Chr5g0437621,CLSY-like -3,#N/A,SNF2 domain-containing protein CLASSY 2/chromatin remodeling 42,,MtrunA17Chr5g0437621,Medtr5g083300,Mt0010_10277,#N/A,Medtr_v1_035246
MtrunA17_Chr4g0039561,DDM1-like,#N/A,DECREASED DNA METHYLATION 1,,MtrunA17Chr4g0039561,Medtr4g077600,Mt0003_11154,Mtr.24544.1.S1_s_at,Medtr_v1_048796
MtrunA17_Chr5g0409991,Disease resistance protein-1,#N/A,"Disease resistance protein, CC-NBS-LRR class",PMID:27245091,MtrunA17Chr5g0409991,Medtr5g027860,Mt0005_01154,#N/A,Medtr_v1_031361
MtrunA17_Chr4g0048421,Disease resistance protein-2,#N/A,"Disease resistance protein, LRR and NB-ARC domain",PMID:27245091,MtrunA17Chr4g0048421,Medtr4g091380,Mt0041_10197,Mtr.21039.1.S1_x_at,Medtr_v1_025984
MtrunA17_Chr8g0363271,Disease resistance protein-3,#N/A,"Disease resistance protein, TIR-NBS-LRR class",PMID:27245091,MtrunA17Chr8g0363271,Medtr8g470390,Mt0208_10003,#N/A,Medtr_v1_101168
MtrunA17_Chr3g0126881,DMS3-like,#N/A,DEFECTIVE IN MERISTEM SILENCING 3 (RNA-directed DNA methylation),,MtrunA17Chr3g0126881,Medtr3g491560,Mt0007_10164,Mtr.17702.1.S1_at,#N/A
MtrunA17_Chr6g0480611,DPB2,#N/A, DNA polymerase epsilon subunit 2,,MtrunA17Chr6g0480611,Medtr6g075170,Mt0042_10233,#N/A,#N/A
MtrunA17_Chr2g0296421,DRD1-like1,#N/A,DEFECTIVE IN RNA-DIRECTED DNA METHYLATION 1-like 1,"P. Gamas, unpublished",MtrunA17Chr2g0296421,Medtr2g437480,Mt0018_00574,#N/A,Medtr_v1_071557
MtrunA17_Chr8g0352361,DRD1-like2,#N/A,DEFECTIVE IN RNA-DIRECTED DNA METHYLATION 1-like 2,"P. Gamas, unpublished",MtrunA17Chr8g0352361,Medtr8g037345,Mt0037_10099,Mtr.31866.1.S1_at,Medtr_v1_068867
MtrunA17_Chr3g0092651,EB1-like,#N/A,Microtubule end binding protein-like,,MtrunA17Chr3g0092651,Medtr0036s0210,Mt0030_00004,#N/A,Medtr_v1_074144
MtrunA17_Chr4g0035741,EDS5/SID1,#N/A,salicylic acid defense pathway,,MtrunA17Chr4g0035741,Medtr4g071370,Mt0003_10899,Mtr.2195.1.S1_at,Medtr_v1_024830
MtrunA17_Chr1g0196001,EFR-like ,#N/A,EFTu receptor,,MtrunA17Chr1g0196001,Medtr1g088930,Mt0039_00125,#N/A,Medtr_v1_078646
MtrunA17_Chr7g0260581,GCN5-like 1,#N/A,Histone acetyltransferase,,MtrunA17Chr7g0260581,Medtr7g096040,Mt0058_10133,Mtr.10028.1.S1_at,Medtr_v1_069568
MtrunA17_Chr8g0363991,GCN5-like 2,#N/A,Histone acetyltransferase,,MtrunA17Chr8g0363991,Medtr8g062330,Mt0109_00026,#N/A,Medtr_v1_050132
MtrunA17_Chr5g0404751,Glutaredoxin-1 ,#N/A,Glutaredoxin family protein,,MtrunA17Chr5g0404751,Medtr5g021090,Mt0005_00788,Mtr.40741.1.S1_at,Medtr_v1_030772
MtrunA17_Chr5g0434201,Glutaredoxin-10,#N/A,Glutaredoxin family protein,,MtrunA17Chr5g0434201,Medtr5g077550,Mt0063_10123,#N/A,Medtr_v1_034781
MtrunA17_Chr7g0268731,Glutaredoxin-11,#N/A,Glutaredoxin family protein,,MtrunA17Chr7g0268731,Medtr7g108220,Mt0067_00140,#N/A,#N/A
MtrunA17_Chr7g0268721,Glutaredoxin-12,#N/A,Glutaredoxin family protein,,MtrunA17Chr7g0268721,Medtr7g108210,Mt0067_00141,#N/A,Medtr_v1_046419
MtrunA17_Chr7g0268711,Glutaredoxin-13,#N/A,Glutaredoxin family protein,,MtrunA17Chr7g0268711,Medtr7g108200,Mt0067_00142,Mtr.12856.1.S1_at,Medtr_v1_046418
MtrunA17_Chr8g0376641,Glutaredoxin-14,#N/A,Glutaredoxin family protein,,MtrunA17Chr8g0376641,#N/A,Mt0076_10067,#N/A,Medtr_v1_088972
MtrunA17_Chr3g0114741,Glutaredoxin-2,#N/A,Glutaredoxin family protein,,MtrunA17Chr3g0114741,#N/A,#N/A,Msa.475.1.S1_at,Medtr_v1_017832
MtrunA17_Chr3g0117391,Glutaredoxin-3,#N/A,Glutaredoxin family protein,,MtrunA17Chr3g0117391,Medtr3g077560,Mt0006_10599,Msa.1289.1.S1_at,Medtr_v1_018004
MtrunA17_Chr2g0325001,Glutaredoxin-4,#N/A,Glutaredoxin family protein,,MtrunA17Chr2g0325001,Medtr2g090755,Mt0019_10526,Mtr.35755.1.S1_at,Medtr_v1_069293
MtrunA17_Chr7g0222491,Glutaredoxin-5,#N/A,Glutaredoxin family protein,,MtrunA17Chr7g0222491,Medtr7g022550,Mt0035_00111,#N/A,#N/A
MtrunA17_Chr7g0222541,Glutaredoxin-6,#N/A,Glutaredoxin family protein,,MtrunA17Chr7g0222541,Medtr7g022690,Mt0035_10118,#N/A,Medtr_v1_042467
MtrunA17_Chr7g0222551,Glutaredoxin-7,#N/A,Glutaredoxin family protein,,MtrunA17Chr7g0222551,Medtr7g022710,Mt0035_10119,#N/A,Medtr_v1_042468
MtrunA17_Chr7g0222581,Glutaredoxin-8,#N/A,Glutaredoxin family protein,,MtrunA17Chr7g0222581,#N/A,Mt0035_10126,#N/A,#N/A
MtrunA17_Chr1g0195971,Glutaredoxin-9,#N/A,Glutaredoxin family protein,,MtrunA17Chr1g0195971,Medtr1g088910,Mt0039_10141,Mtr.42692.1.S1_at,Medtr_v1_087893
MtrunA17_Chr3g0138411,HAC1-like 1,#N/A,Histone acetyltransferase -like,,MtrunA17Chr3g0138411,Medtr3g107960,Mt0007_00916,Msa.680.1.S1_at,Medtr_v1_020094
MtrunA17_Chr5g0401991,HAC1-like 2,#N/A,Histone acetyltransferase -like,,MtrunA17Chr5g0401991,Medtr5g017020,Mt0005_10592,Mtr.28203.1.S1_s_at,Medtr_v1_030429
MtrunA17_Chr3g0133461,HAC1-like 3,#N/A,Histone acetyltransferase -like,,MtrunA17Chr3g0133461,Medtr3g101100,Mt0007_00614,#N/A,#N/A
MtrunA17_Chr5g0438991,HAC1-like 4,#N/A,Histone acetyltransferase -like,,MtrunA17Chr5g0438991,Medtr5g085310,Mt0010_10380,#N/A,#N/A
MtrunA17_Chr4g0000031,HAC1-like 5,#N/A,Histone acetyltransferase -like,,MtrunA17Chr4g0000031,Medtr4g005050,Mt0078_00023,Mtr.33862.1.S1_at,Medtr_v1_028213
MtrunA17_Chr6g0456931,HAC1-like 6,#N/A,Histone acetyltransferase -like,,MtrunA17Chr6g0456931,Medtr6g017140,Mt0010_00071,#N/A,#N/A
MtrunA17_Chr1g0169961,HAC1-like 7,#N/A,Histone acetyltransferase,,MtrunA17Chr1g0169961,Medtr1g047930,Mt0002_01762,#N/A,Medtr_v1_001614
MtrunA17_Chr8g0384361,HDAC-like 1,#N/A,Histone deacetylase -like,,MtrunA17Chr8g0384361,Medtr8g093800,Mt0009_10441,Mtr.15418.1.S1_at,Medtr_v1_051747
MtrunA17_Chr4g0062751,HDAC-like 2,#N/A,Histone deacetylase -like,,MtrunA17Chr4g0062751,Medtr4g111985,Mt0001_01015,Mtr.45078.1.S1_at,#N/A
MtrunA17_Chr5g0393401,HDAC-like 3,#N/A,Histone deacetylase -like,,MtrunA17Chr5g0393401,Medtr5g004640,Mt0005_10004,Mtr.38861.1.S1_at,Medtr_v1_000520
MtrunA17_Chr3g0146071,HDAC-like 4,#N/A,Histone deacetylase -like,,MtrunA17Chr3g0146071,Medtr3g118535,Mt0089_00091,Mtr.11353.1.S1_s_at,Medtr_v1_020700
MtrunA17_Chr1g0151631,HDAC-like 5,#N/A,Histone deacetylase -like,,MtrunA17Chr1g0151631,Medtr1g016440,Mt0002_00407,Mtr.11578.1.S1_at,#N/A
MtrunA17_Chr4g0061411,HDAC-like 6,#N/A,Histone deacetylase -like,,MtrunA17Chr4g0061411,Medtr4g109500,Mt0001_11083,Mtr.42599.1.S1_at,#N/A
MtrunA17_Chr3g0117101,HDAC-like 7,#N/A,Histone deacetylase -like,,MtrunA17Chr3g0117101,Medtr3g077160,Mt0006_10619,Mtr.25747.1.S1_at,Medtr_v1_017968
MtrunA17_Chr2g0321941,HDAC-like 8,#N/A,Histone deacetylase -like,,MtrunA17Chr2g0321941,Medtr2g087270,Mt0019_10331,Mtr.26127.1.S1_at,Medtr_v1_012846
MtrunA17_Chr4g0027021,HDAC-like 9,#N/A,Histone deacetylase -like,,MtrunA17Chr4g0027021,Medtr4g055080,Mt0003_10195,Mtr.46757.1.S1_at,#N/A
MtrunA17_Chr4g0027181,HDT1-like 1,#N/A,Histone deacetylase HDT1-like,,MtrunA17Chr4g0027181,Medtr4g055440,Mt0003_00196,Mtr.12990.1.S1_at,Medtr_v1_024103
MtrunA17_Chr4g0027191,HDT1-like 2,#N/A,Histone deacetylase HDT1-like,,MtrunA17Chr4g0027191,Medtr4g055450,Mt0003_00197,#N/A,Medtr_v1_024104
MtrunA17_Chr2g0320891,HDT1-like 3,#N/A,Histone deacetylase HDT1-like,,MtrunA17Chr2g0320891,Medtr2g084815,Mt0019_00244,#N/A,#N/A
MtrunA17_Chr2g0320901,HDT1-like 4,#N/A,Histone deacetylase HDT1-like,,MtrunA17Chr2g0320901,Medtr2g084815,Mt0019_00245,Mtr.37655.1.S1_at,Medtr_v1_074301
MtrunA17_Chr7g0265761,HDT1-like 5,#N/A,Histone deacetylase HDT1-like,,MtrunA17Chr7g0265761,#N/A,Mt0031_10292,Mtr.11239.1.S1_at,#N/A
MtrunA17_Chr4g0051671,HEN1-like,#N/A,HUA ENHANCER1 (RNA 2'-O-methyltransferase),,MtrunA17Chr4g0051671,Medtr4g094545,Mt0001_01853,#N/A,Medtr_v1_068614
MtrunA17_Chr2g0316251,IDM1/ROS4-like,#N/A,Increased DNA methylation 1-like (histone H3 acetyl-transferase),,MtrunA17Chr2g0316251,Medtr2g078040,Mt0027_00426,Mtr.3240.1.S1_at,Medtr_v1_077032
MtrunA17_Chr7g0234361,KYP/SUVH4 -2,#N/A,KYP  SUVH4 histone-lysine N-methyltransferase,,MtrunA17Chr7g0234361,Medtr7g052480,Mt0022_00407,#N/A,#N/A
MtrunA17_Chr6g0476121,KYP/SUVH4 -3,#N/A,KYP  SUVH4 histone-lysine N-methyltransferase,,MtrunA17Chr6g0476121,Medtr6g061200,Mt0054_00118,#N/A,#N/A
MtrunA17_Chr6g0476111,KYP/SUVH4 -4,#N/A,KYP  SUVH4 histone-lysine N-methyltransferase,,MtrunA17Chr6g0476111,Medtr6g061270,Mt0054_10138,#N/A,#N/A
MtrunA17_Chr1g0186741,LjERF1-like,#N/A,LjERF1-like; AB378626 ,PMID:18567832,MtrunA17Chr1g0186741,Medtr1g074370,Mt0004_01061,Mtr.1494.1.S1_at,Medtr_v1_086853
MtrunA17_Chr8g0356501,LjIPN2-like,#N/A,Interacting Protein of NSP2 ,PMID:24400899,MtrunA17Chr8g0356501,#N/A,Mt0015_00478,#N/A,Medtr_v1_074279
MtrunA17_Chr6g0479521,LjNENA-like,#N/A,WD40 repeat protein related to nucleoporins,PMID:675572,MtrunA17Chr6g0479521,Medtr6g072020,Mt0042_10115,Mtr.31569.1.S1_at,Medtr_v1_041362
MtrunA17_Chr1g0147041,LjSINA4-like,#N/A,Seven in absentia 4 E23 ligase,PMID:22534128,MtrunA17Chr1g0147041,Medtr1g008120,Mt0002_00058,Msa.1531.1.S1_at,Medtr_v1_004005
MtrunA17_Chr4g0000481,LjSIP2-like ,#N/A,SymRK-interacting protein (MAPKK),PMID:22353370,MtrunA17Chr4g0000481,Medtr4g005830,Mt0078_10054,Msa.1719.1.S1_at,#N/A
MtrunA17_Chr7g0268161,LjTRICOT-like,#N/A,AtAMP1 (ALTERED MERISTEM PROGRAM 1)-related ; ,PMID:23250209,MtrunA17Chr7g0268161,Medtr7g107100,Mt0067_10150,Mtr.11449.1.S1_at,Medtr_v1_077856
MtrunA17_Chr1g0151201,LOG-like 1,#N/A,Lonely Guy-like (CK biosynthesis),,MtrunA17Chr1g0151201,Medtr1g015830,Mt0002_10352,Mtr.24814.1.S1_at,Medtr_v1_004439
MtrunA17_Chr4g0028871,LOG-like 2,#N/A,Lonely Guy-like (CK biosynthesis),,MtrunA17Chr4g0028871,Medtr4g058740,Mt0003_00361,Mtr.31326.1.S1_at,#N/A
MtrunA17_Chr2g0326841,LOG-like 3,#N/A,Lonely Guy-like (CK biosynthesis),,MtrunA17Chr2g0326841,Medtr2g094790,Mt0016_00485,Mtr.5792.1.S1_at,Medtr_v1_081035
MtrunA17_Chr3g0142491,LOG-like 4,#N/A,Lonely Guy-like (CK biosynthesis),,MtrunA17Chr3g0142491,Medtr3g113710,Mt0040_00176,Mtr.43953.1.S1_at,Medtr_v1_020360
MtrunA17_Chr4g0068511,MCM2-like 1,#N/A,minichromosome maintenance (MCM2/3/5) family protein,,MtrunA17Chr4g0068511,Medtr4g122270,Mt0001_00606,Mtr.38794.1.S1_at,Medtr_v1_027435
MtrunA17_Chr4g0065401,MCM2-like 2,#N/A,DNA replication licensing factor,,MtrunA17Chr4g0065401,Medtr4g116870,Mt0001_10832,Mtr.35539.1.S1_at,#N/A
MtrunA17_Chr4g0052131,MCM2-like 3,#N/A,DNA replication licensing factor,,MtrunA17Chr4g0052131,Medtr4g096700,Mt0001_11722,Mtr.20496.1.S1_at,Medtr_v1_026212
MtrunA17_Chr4g0035581,MCM2-like 4,#N/A,DNA replication licensing factor,,MtrunA17Chr4g0035581,Medtr4g071090,Mt0003_10882,Mtr.4585.1.S1_at,Medtr_v1_024806
MtrunA17_Chr8g0381871,MCM2-like 5,#N/A,DNA replication licensing factor,,MtrunA17Chr8g0381871,Medtr8g090000,Mt0009_10280,Mtr.41598.1.S1_at,Medtr_v1_076312
