,"Supplementary Dataset 1. List of functionally-validated SNF genes in legumes. Roy et al. (2019). Plant Cell 10.1105/tpc.19.00279. Table shows genes validated by mutational analyses (RNAi, antisense, Tnt1, LORE1, EMS mutagenesis, Y-ray mutagenesis, CRISPR-Cas9, etc). Involvement in different stages of nodulation and nitrogen fixation are indicated by Nod +/-; Inf +/- and fix +/- identifiers for which the key is provided in a separate tab labelled 'Key'. All sequences are provided in a separate tab labelled 'Sequences'. Genes with overexpression phenotypes or expression data alone were not included. Phenotypes associated with lines where multiple genes have been knocked down or edited are entered only once. Each reference indicates the first study describing a mutant in which the gene was identified and the genes are annotated with the two letter code to the corresponding species. The full table with orthology information and gene identifiers can be found at https://nobleapps.noble.org/LegumeGenetics",,,,,,,,,,,,,,,
LjARPC1,Inf+/-,"Nod++, White++",n/a,"Hossain et al., 2012",Multiprotein complex subunit (Actin nucleator),ACTIN-RELATED PROTEIN COMPONENT1 (ARPC1),,EMS,Medtr3g049070,Mtr.37170.1.S1_at,Lj6g3v0925910,Glyma.10G216300,Phvul.005G127400,Myc+,,"Hossain, M.S., Liao, J., James, E.K., Sato, S., Tabata, S., Jurkiewicz, A., Madsen, L.H., Stougaard, J., Ross, L., and Szczyglowski, K. (2012). Lotus japonicus ARPC1 is required for rhizobial infection. Plant physiology 160, 917-928."
PvBECLIN1,n/a,Nod+/-,n/a,"Estrada-Navarrete et al., 2016",Multiprotein complex subunit (Autophagy related),AUTOPHAGY RELATED PROTEIN,,RNAi,Medtr3g018770,Mtr.9470.1.S1_at,Lj0g3v0261969,Glyma.11G153900,Phvul.005G029900,n/a,,"Estrada-Navarrete, G., Cruz-Mireles, N., Lascano, R., Alvarado-Affantranger, X., Hernández-Barrera, A., Barraza, A., Olivares, J.E., Arthikala, M.-K., Cárdenas, L., and Quinto, C. (2016). An autophagy-related kinase is essential for the symbiotic relationship between Phaseolus vulgaris and both rhizobia and arbuscular mycorrhizal fungi. The Plant Cell 28, 2326-2341."
GmBCH1/GmBCH2,n/a,Nod*,Fix+/-,"Kim et al., 2013",Enzyme (Hydroxylase),β-CAROTENE HYDROXYLASE (BCH1/BCH2),,RNAi,"Medtr6g048440, Medtr7g085180","Mtr.33915.1.S1_at, Mtr.50032.1.S1_at","Lj5g3v1988680, Lj0g3v0299729, Lj1g3v3948070 (BCH2), Lj1g3v3948060 (BCH2)","Glyma.10G231200, Glyma.16G043300","Phvul.004G108900, Phvul.001G099900, Phvul.001G100100",n/a,,"Kim, Y.-K., Kim, S., Um, J.-H., Kim, K., Choi, S.-K., Um, B.-H., Kang, S.-W., Kim, J.-W., Takaichi, S., and Song, S.-B. (2013). Functional implication of β-carotene hydroxylases in soybean nodulation. Plant physiology 162, 1420-1433."
GmBEHL1,n/a,Nod++,n/a,"Yan et al., 2018",TF (Brassinosteroid pathway),BES1/BZR1 HOMOLOG LIKE1,,Artificial miRNA,Medtr5g019550,Mtr.43192.1.S1_at,Lj2g3v1803080,Glyma.01G178000,"Phvul.002G026700, Phvul.002G026800",n/a,,"Yan, Q., Wang, L., and Li, X. (2018). GmBEHL1, a BES1/BZR1 family protein, negatively regulates soybean nodulation. Scientific reports 8, 7614."
MtBG2,Inf++,Nod++,n/a,"Gaudioso-Pedraza et al., 2018",Enzyme (Glucanase),"β-1,3 -GLUCANASE (BG2)",,RNAi,Medtr3g083580,Mtr.20928.1.S1_at,Lj4g3v2604040,Glyma.17G202900,Phvul.001G056400,n/a,,"Gaudioso-Pedraza, R., Beck, M., Frances, L., Kirk, P., Ripodas, C., Niebel, A., Oldroyd, G.E., Benitez-Alfonso, Y., and de Carvalho-Niebel, F. (2018). Callose-regulated symplastic communication coordinates symbiotic root nodule development. Current Biology 28, 3562-3577. e3566"
MtBHLH1,n/a,Nod+,Fix+,"Laurence Godiard et al., 2011",TF (bHLH motif containing),BASIC HELIX–LOOP–HELIX 1 (BHLH1),,CRES-T,Medtr3g099620,Mtr.10993.1.S1_at,Lj1g3v1525930,Glyma.04G098400,Phvul.009G033800,n/a,,"Godiard, L., Lepage, A., Moreau, S., Laporte, D., Verdenaud, M., Timmers, T., and Gamas, P. (2011). MtbHLH1, a bHLH transcription factor involved in Medicago truncatula nodule vascular patterning and nodule to plant metabolic exchanges. New Phytologist 191, 391-404."
MtBHLH476,Inf+,Nod+/-,Fix+,"Ariel et al.,2012",TF (bHLH motif containing),BASIC HELIX–LOOP–HELIX 476 (BHLH476),,RNAi,Medtr5g014520,Mtr.253.1.S1_at,Lj2g3v1984620,Glyma.01G198100,Phvul.002G007400,n/a,,"Ariel, F., Brault-Hernandez, M., Laffont, C., Huault, E., Brault, M., Plet, J., Moison, M., Blanchet, S., Ichanté, J.L., and Chabaud, M. (2012). Two direct targets of cytokinin signaling regulate symbiotic nodulation in Medicago truncatula. The Plant Cell 24, 3838-3852."
PvBPS1,Inf++,Nod+/-,n/a,"Arthikala et al., 2018",Unknown (DUF),BYPASS1 (BPS1),,RNAi,Medtr7g078700,Msa.1056.1.S1_at,Lj1g3v2752330,Glyma.18G237000,Phvul.008G059600,n/a,,"Arthikala, M.-K., Nanjareddy, K., and Lara, M. (2018). In BPS1 Downregulated Roots, the BYPASS1 Signal Disrupts the Induction of Cortical Cell Divisions in Bean-Rhizobium Symbiosis. Genes 9, 11."
MtBRI1,n/a,"Nod+/-, Nod*",n/a,"Cheng et al., 2017",Kinase (LRR-RLK),BRASSINOSTEROID INSENSITIVE 1,,Tnt1,Medtr3g095100,Mtr.45830.1.S1_at,Lj1g3v1222370,"Glyma.04G218300, Glyma.06G147600",Phvul.005G005900,n/a,,"Cheng, X., Gou, X., Yin, H., Mysore, K.S., Li, J., and Wen, J. (2017). Functional characterisation of brassinosteroid receptor MtBRI1 in Medicago truncatula. Scientific reports 7, 9327."
LjBRUSH,Inf+/-,Nod+/- (C),n/a,"Chiasson et al., 2018",Channel (Cations),BRUSH ,LjcngcIVA1 GOF,EMS-Tilling,Medtr5g007630,-,Lj2g3v0632220,Glyma.09G168500,Phvul.004G143800,Myc++,,"Chiasson, D.M., Haage, K., Sollweck, K., Brachmann, A., Dietrich, P., and Parniske, M. (2017). A quantitative hypermorphic CNGC allele confers ectopic calcium flux and impairs cellular development. Elife 6, e25012."
LjBZF,n/a,Nod++,n/a,"Nishimura et al., 2002",TF (bZIP domain containing),BASIC LEUCINE ZIPPER FAMILY PROTEIN (BZF),Ljsym77,EMS,Medtr3g436010,Mtr.9651.1.S1_at,Lj6g3v0937020,"Glyma.18G117100, Glyma.08G302500",Phvul.006G029200,n/a,,"Nishimura, R., Ohmori, M., Fujita, H., and Kawaguchi, M. (2002). A Lotus basic leucine zipper protein with a RING-finger motif negatively regulates the developmental program of nodulation. Proceedings of the National Academy of Sciences 99, 15206-15210."
MtCAS31,n/a,"Nod+, Pink +/- (C)",Fix+/- (C) ,"Li et al., 2018",Dehydrin,COLD ACCLIMATION SPECIFIC (CAS31),,Tnt1,Medtr6g084640,Mtr.8651.1.S1_a_at,Lj2g3v0741950,Glyma.09G185500,-,n/a,,"Li, X., Feng, H., Wen, J., Dong, J., and Wang, T. (2018). MtCAS31 Aids Symbiotic Nitrogen Fixation by Protecting the Leghemoglobin MtLb120-1 Under Drought Stress in Medicago truncatula. Front Plant Sci 9, 633."
MtCBS1,Inf++,Nod++,Fix+/-,"Sinharoy et al., 2016",Enzyme (Synthase),CYSTATHIONE BETASYNTHASE 1 (CBS1),,Tnt1,Medtr6g052300,Mtr.23516.1.S1_at,Lj6g3v1537040,"Glyma.09G129700, Glyma.16G177500",Phvul.004G106300,n/a,,"Sinharoy, S., Torres-Jerez, I., Bandyopadhyay, K., Kereszt, A., Pislariu, C.I., Nakashima, J., Benedito, V.A., Kondorosi, E., and Udvardi, M.K. (2013). The C2H2 transcription factor regulator of symbiosome differentiation represses transcription of the secretory pathway gene VAMP721a and promotes symbiosome development in Medicago truncatula. Plant Cell 25, 3584-3601."
LjCCD7,Inf+,Nod+/-,n/a,"Liu et. al., 2013",Enzyme (Oxidoreductase),CAROTENOID CLEAVAGE DIOXYGENASE 7 (CCD7),,RNAi,Medtr7g045370,Mtr.32038.1.S1_at,Lj0g3v0146209,Glyma.01G073200,Phvul.008G152801,n/a,,"Liu, J., Novero, M., Charnikhova, T., Ferrandino, A., Schubert, A., Ruyter-Spira, C., Bonfante, P., Lovisolo, C., Bouwmeester, H.J., and Cardinale, F. (2013). Carotenoid cleavage dioxygenase 7 modulates plant growth, reproduction, senescence, and determinate nodulation in the model legume Lotus japonicus. Journal of experimental botany 64, 1967-1981."
MtCCS52a,n/a,"Nod+/-, Nod*",Fix*,"Vinardell et al., 2003",Anaphase-promoting complex activator,CELL CYCLE SWITCH GENE encoding a 52 kDa protein (CCS 52a),,Antisense,Medtr4g102510,Msa.3010.1.S1_at; Mtr.12852.1.S1_at; Mtr.4030.1.S1_at,Lj4g3v1327590,Glyma.7G133000,Phvul.003G213700,n/a,,"Vinardell, J.M., Fedorova, E., Cebolla, A., Kevei, Z., Horvath, G., Kelemen, Z., Tarayre, S., Roudier, F., Mergaert, P., Kondorosi, A., and Kondorosi, E. (2003). Endoreduplication mediated by the anaphase-promoting complex activator CCS52A is required for symbiotic cell differentiation in Medicago truncatula nodules. The Plant cell 15, 2093-2105."
MtCDC16,n/a,Nod++,Fix+,"Kuppusamy et al.,2009",Anaphase-promoting complex component,CELL DIVISION CYCLE16 (CDC16),,RNAi,Medtr8g058380,Mtr.51354.1.S1_at,Lj0g3v0096099,Glyma.06G228700,Phvul.011G165500,n/a,,"Kuppusamy, K.T., Ivashuta, S., Bucciarelli, B., Vance, C.P., Gantt, J.S., and VandenBosch, K.A. (2009). Knockdown of CELL DIVISION CYCLE16 reveals an inverse relationship between lateral root and nodule numbers and a link to auxin in Medicago truncatula. Plant physiology 151, 1155-1166."
MtCDPK1,Inf*,Nod+/-,n/a,"Ivashuta et al.,2005",Enzyme (Calcium dependent Kinase),CALCIUM DEPENDANT PROTEIN KINASE 1 (CDPK1),,RNAi,Medtr5g022030,Mtr.249.1.S1_s_at,Lj2g3v1695240,"Glyma.01G166100, Glyma.11G077300",Phvul.002G108700,Myc+/-,,"Ivashuta, S., Liu, J., Liu, J., Lohar, D.P., Haridas, S., Bucciarelli, B., VandenBosch, K.A., Vance, C.P., Harrison, M.J., and Gantt, J.S. (2005). RNA interference identifies a calcium-dependent protein kinase involved in Medicago truncatula root development. The Plant Cell 17, 2911-2921."
LjCHIT5,Inf+/-,"Nod+, Pink +/-",Fix+/-,"Malolepszy et al., 2018",Enzyme (Glycosyl hydrolase),CHITINASE 5 (CHIT5),,LORE1,Medtr1g013150,Mtr.42876.1.S1_at,Lj5g3v0525260,"Glyma.17G217000, Glyma.14G110700",Phvul.001G046400,n/a,,"Malolepszy, A., Kelly, S., Sørensen, K.K., James, E.K., Kalisch, C., Bozsoki, Z., Panting, M., Andersen, S.U., Sato, S., and Tao, K. (2018). A plant chitinase controls cortical infection thread progression and nitrogen-fixing symbiosis. Elife 7, e38874."
MtCHR,n/a,Nod+/-,n/a,"Zhang et al., 2009",Enzyme (Oxidoreductase),CHALCONE REDUCTASE (CHR),,RNAi,Medtr5g097910,Mtr.15678.1.S1_s_at,"Lj2g3v3339170, Lj0g3v0328269, 8 other homologs",Glyma.02G307300,Phvul.008G287200,n/a,,"Wasson, A.P., Pellerone, F.I., and Mathesius, U. (2006). Silencing the flavonoid pathway in Medicago truncatula inhibits root nodule formation and prevents auxin transport regulation by rhizobia. The Plant Cell 18, 1617-1629."
MtCHS,n/a,Nod+/-,n/a,"Zhang et al., 2009",Enzyme (Synthase),CHALCONE SYNTHASE (CHS),,RNAi,Medtr7g084300,Msa.3134.1.S1_at,Lj4g3v2603590,Glyma.19G105100,Phvul.001G083000,n/a,,"Zhang, J., Subramanian, S., Stacey, G., and Yu, O. (2009). Flavones and flavonols play distinct critical roles during nodulation of Medicago truncatula by Sinorhizobium meliloti. The Plant Journal 57, 171-183."
LjCIP73,Inf+/-,Nod+/-,n/a,"Kang et al., 2011",Unknown (Scythe_N Ubiquitin-like domain containing),CCAMK INTERACTING PROTEIN OF APPROXIMATELY 73 KDa (CIP73),,RNAi,Medtr4g116370,Mtr.7126.1.S1_at,Lj4g3v1970880,Glyma.17G106000,Phvul.003G173700,n/a,,"Kang, H., Zhu, H., Chu, X., Yang, Z., Yuan, S., Yu, D., Wang, C., Hong, Z., and Zhang, Z. (2011). A novel interaction between CCaMK and a protein containing the Scythe_N ubiquitin-like domain in Lotus japonicus. Plant physiology 155, 1312-1324."
LjCKX3,Inf+/-,Nod+/-,n/a,"Reid et al., 2016",Enzyme (Oxidoreductase),CYTOKININ OXIDASE/DEHYDROGENASE 3 (CKX3),,LORE1,Medtr2g039410,Mtr.14413.1.S1_at,Lj5g3v0692300,"Glyma.09G063900, Glyma.15G140000",Phvul.009G231700,Myc+,,"Reid, D.E., Heckmann, A.B., Novák, O., Kelly, S., and Stougaard, J. (2016). CYTOKININ OXIDASE/DEHYDROGENASE3 maintains cytokinin homeostasis during root and nodule development in Lotus japonicus. Plant physiology 170, 1060-1074."
LjCLC1,n/a,Nod+/-,n/a,"Wang et al., 2015",Protein (Endocytosis),CLATHARIN HEAVY CHAIN1,,RNAi,Medtr3g070940,Mtr.41546.1.S1_at,Lj6g3v0497300,"Glyma.02G258200, Glyma.14G058300",Phvul.008G222800,n/a,,"Wang, C., Zhu, M., Duan, L., Yu, H., Chang, X., Li, L., Kang, H., Feng, Y., Zhu, H., Hong, Z., and Zhang, Z. (2015). Lotus japonicus Clathrin Heavy Chain1 Is Associated with Rho-Like GTPase ROP6 and Involved in Nodule Formation. Plant Physiology 167, 1497-1510."
LjCLE-RS1,n/a,Nod++,n/a,"Nishida et al., 2018",Peptide (Signaling),CLAVATA3/ENDOSPERM SURROUNDING REGION12 (CLE12/CLE13),"CLE-RS1/CLE-RS2 (root signal), RIC1/RIC2 (rhizobium induced CLE)",CRSISPR/Cas9,Medtr4g079630,Mtr.19172.1.S1_at,Lj0g3v0000559.1,Glyma.13G368300,Phvul.011G135900,n/a,,"Nishida, H., Tanaka, S., Handa, Y., Ito, M., Sakamoto, Y., Matsunaga, S., Betsuyaku, S., Miura, K., Soyano, T., and Kawaguchi, M. (2018). A NIN-LIKE PROTEIN mediates nitrate-induced control of root nodule symbiosis in Lotus japonicus. Nature communications 9, 499."
LjCLE-RS2,n/a,Nod++,n/a,"Nishida et al., 2018",Peptide (Signaling),CLAVATA3/ENDOSPERM SURROUNDING REGION12 (CLE12/CLE13),,CRSISPR/Cas9,Medtr4g079610,Mtr.19174.1.S1_at,AP010911.1,Glyma.06G284100,Phvul.011G135900,n/a,,"Nishida, H., Tanaka, S., Handa, Y., Ito, M., Sakamoto, Y., Matsunaga, S., Betsuyaku, S., Miura, K., Soyano, T., and Kawaguchi, M. (2018). A NIN-LIKE PROTEIN mediates nitrate-induced control of root nodule symbiosis in Lotus japonicus. Nature communications 9, 499."
LjCLV2,n/a,Nod++,n/a,"Krusell et al., 2011",Receptor-like protein (LRR-RLP),CLAVATA 2 (CLV2),Pssym28,RNAi,Medtr7g079550,Mtr.34002.1.S1_s_at,Lj2g3v0743220,Glyma.09G251800,Phvul.008G055400,Myc++ (tomato),,"Krusell, L., Sato, N., Fukuhara, I., Koch, B.E., Grossmann, C., Okamoto, S., Oka‐Kira, E., Otsubo, Y., Aubert, G., and Nakagawa, T. (2011). The Clavata2 genes of pea and Lotus japonicus affect autoregulation of nodulation. The Plant Journal 65, 861-871."
MtCNGC15a,Inf+/-,Nod+/-,n/a,"Charpentier et al., 2016",Channel (Cations),CYCLIC NUCLEOTIDE GATED CHANNELS 15A (CNGC15a),,"Tnt1, RNAi",Medtr1g064240,Mtr.50460.1.S1_at,Lj5g3v0659940,"Glyma.13G141000, Glyma.10G053900  ",Phvul.007G148700,Myc+/-,,"Charpentier, M., Sun, J., Martins, T.V., Radhakrishnan, G.V., Findlay, K., Soumpourou, E., Thouin, J., Véry, A.-A., Sanders, D., and Morris, R.J. (2016). Nuclear-localized cyclic nucleotide–gated channels mediate symbiotic calcium oscillations. Science 352, 1102-1105."
MtCNGC15b,Inf+/-,Nod+/-,n/a,"Charpentier et al., 2016",Channel (Cations),CYCLIC NUCLEOTIDE GATED CHANNELS 15B (CNGC 15b),,"Tnt1, RNAi",Medtr4g058730,-,Lj0g3v0103009,Glyma.12G076800,Phvul.011G080800,Myc+/-,,"Charpentier, M., Sun, J., Martins, T.V., Radhakrishnan, G.V., Findlay, K., Soumpourou, E., Thouin, J., Véry, A.-A., Sanders, D., and Morris, R.J. (2016). Nuclear-localized cyclic nucleotide–gated channels mediate symbiotic calcium oscillations. Science 352, 1102-1105."
MtCNGC15c,Inf+/-,Nod+/-,n/a,"Charpentier et al., 2016",Channel (Cations),CYCLIC NUCLEOTIDE GATED CHANNELS 15C (CNGC 15c),,"Tnt1, RNAi",Medtr2g094860,Mtr.32319.1.S1_at,"Lj3g3v1089390, Lj3g3v1089380",Glyma.12G175000,Phvul.005G133900,Myc+/-,,"Charpentier, M., Sun, J., Martins, T.V., Radhakrishnan, G.V., Findlay, K., Soumpourou, E., Thouin, J., Véry, A.-A., Sanders, D., and Morris, R.J. (2016). Nuclear-localized cyclic nucleotide–gated channels mediate symbiotic calcium oscillations. Science 352, 1102-1105."
MtCOPT1,n/a,Nod+,n/a,"Senovilla et al., 2018",Transporter (Copper),COPPER TRASPORTER 1 (COPT1),,Tnt1,Medtr4g019870,Mtr.42937.1.S1_s_at,Lj0g3v0091689.1,Glyma.18G191300,Phvul.008G113200,n/a,,"Senovilla, M., Castro‐Rodríguez, R., Abreu, I., Escudero, V., Kryvoruchko, I., Udvardi, M.K., Imperial, J., and González‐Guerrero, M. (2018). Medicago truncatula COPPER TRANSPORTER 1 (Mt COPT 1) delivers copper for symbiotic nitrogen fixation. New Phytologist 218, 696-709."
MtCP6,n/a,"Nod+/-, Nod*",Fix++,"Pierre et al., 2014",Enzyme (Cysteine protease),CYSTEINE PROTEINASE 6 (CP6),,RNAi,Medtr4g079800,Mtr.45750.1.S1_at,Lj3g3v1642060,Glyma.12G127200,Phvul.011G132100,n/a,,"Pierre, O., Hopkins, J., Combier, M., Baldacci, F., Engler, G., Brouquisse, R., Hérouart, D., and Boncompagni, E. (2014). Involvement of papain and legumain proteinase in the senescence process of Medicago truncatula nodules. New Phytologist 202, 849-863."
MtCPK3,n/a,Nod++,n/a,"Gargantini et al., 2006",Enzyme (Calcium dependent Kinase),CALCIUM DEPENDANT PROTEIN KINASE 3 (CPK3),,RNAi,Medtr3g051770,Mtr.37994.1.S1_at,Lj2g3v3164080,Glyma.08G316500,Phvul.006G043700,n/a,,"Gargantini, P.R., Gonzalez‐Rizzo, S., Chinchilla, D., Raices, M., Giammaria, V., Ulloa, R.M., Frugier, F., and Crespi, M.D. (2006). A CDPK isoform participates in the regulation of nodule number in Medicago truncatula. The Plant Journal 48, 843-856."
MtCRA2,n/a,Nod+/-,n/a,"Huault et al., 2014",Enzyme (Kinase; LRR-RLK),COMPACT ROOT ARCHITECTURE 2 (CRA2),,Tnt1,Medtr3g110840,Mtr.38398.1.S1_at,Lj1g3v2096140,"Glyma.06G090700, Glyma.04G088700",Phvul.009G114400,n/a,,"Huault, E., Laffont, C., Wen, J., Mysore, K.S., Ratet, P., Duc, G., and Frugier, F. (2014). Local and systemic regulation of plant root system architecture and symbiotic nodulation by a receptor-like kinase. PLoS Genetics 10, e1004891."
MtCRE1 (L.O.F),Inf++,Nod+/-,n/a,"Gonzalez-Rizzo et al., 2006",Enzyme (Histidine kinase),CYTOKININ RESPONSE 1 (CRE1),"Ljlhk1 (lotus histidine kinase), Ljlhk1 (lotus histidine kinase), spontaneous nodule formation (Ljsnf2) gof",RNAi,Medtr8g106150,Mtr.45840.1.S1_at,Lj4g3v3113830,Glyma.05G241600,Phvul.002G324900,Myc+,,"Gonzalez-Rizzo, S., Crespi, M., and Frugier, F. (2006). The Medicago truncatula CRE1 cytokinin receptor regulates lateral root development and early symbiotic interaction with Sinorhizobium meliloti. The Plant Cell 18, 2680-2693."
LjCRE1 (G.O.F),Inf+/-,White++ (spontaneous),n/a,"Tirichine et al., 2007",Enzyme (Histidine kinase),CYTOKININ RESPONSE 1 (CRE1),hit1 (hyperinfected1),EMS,Medtr8g106150,Mtr.45840.1.S1_at,Lj4g3v3113830,Glyma.05G241600,Phvul.002G324900,n/a,,"Tirichine, L., Sandal, N., Madsen, L.H., Radutoiu, S., Albrektsen, A.S., Sato, S., Asamizu, E., Tabata, S., and Stougaard, J. (2007). A gain-of-function mutation in a cytokinin receptor triggers spontaneous root nodule organogenesis. Science 315, 104-107."
MtCRN,n/a,Nod++,n/a,"Crook et al., 2016",Pseudokinase,CORYNE (CRN),,Tnt1,Medtr7g020850,Mtr.35355.1.S1_at,Lj1g3v3137890,"Glyma.08G257700, Glyma.18G282100",Phvul.008G019200,n/a,,"Crook, A.D., Schnabel, E.L., and Frugoli, J.A. (2016). The systemic nodule number regulation kinase SUNN in Medicago truncatula interacts with MtCLV2 and MtCRN. The Plant Journal 88, 108-119."
