locus_tag	ftype	length_bp	gene	EC_number	COG	product
WSM1022_00050	CDS	405				hypothetical protein
WSM1022_00051	CDS	1083	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
WSM1022_00052	CDS	2427	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
WSM1022_00053	CDS	360				hypothetical protein
WSM1022_00054	CDS	996	yhdN_1	1.1.1.-	COG0667	Aldo-keto reductase YhdN
WSM1022_00055	CDS	894	pgrR_1			HTH-type transcriptional regulator PgrR
WSM1022_00056	CDS	492	yciF		COG3685	Protein YciF
WSM1022_00057	CDS	771	gdhI	1.1.1.47	COG1028	Glucose 1-dehydrogenase 1
WSM1022_00058	CDS	675				hypothetical protein
WSM1022_00059	CDS	951	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
WSM1022_00060	CDS	987	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
WSM1022_00061	CDS	411				hypothetical protein
WSM1022_00062	CDS	747				hypothetical protein
WSM1022_00063	CDS	1581	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
WSM1022_00064	CDS	591	azoR	1.7.1.17		FMN-dependent NADH-azoreductase
WSM1022_00065	CDS	495				hypothetical protein
WSM1022_00066	CDS	873				hypothetical protein
WSM1022_00067	CDS	633				hypothetical protein
WSM1022_00068	CDS	399				hypothetical protein
WSM1022_00069	CDS	1164			COG3385	IS4 family transposase ISRm16
WSM1022_00070	CDS	1257		3.4.11.-	COG2309	Aminopeptidase T
WSM1022_00071	CDS	687	sspA_1		COG0625	Stringent starvation protein A 
WSM1022_00072	CDS	453				hypothetical protein
WSM1022_00073	CDS	474	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
WSM1022_00074	CDS	351	yffB		COG1393	Protein YffB
WSM1022_00075	CDS	1170	tyrB	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
WSM1022_00076	CDS	1062				hypothetical protein
WSM1022_00077	CDS	588				hypothetical protein
WSM1022_00078	CDS	243				hypothetical protein
WSM1022_00079	CDS	426	vapC_1	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
WSM1022_00080	CDS	1563	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
WSM1022_00081	CDS	639	mqnB	3.2.2.26		Futalosine hydrolase
WSM1022_00082	CDS	453				hypothetical protein
WSM1022_00083	CDS	591				hypothetical protein
WSM1022_00084	CDS	1227				hypothetical protein
WSM1022_00085	CDS	990	corA_1		COG0598	Magnesium transport protein CorA
WSM1022_00086	CDS	1128				hypothetical protein
WSM1022_00087	CDS	1551				hypothetical protein
WSM1022_00088	CDS	1281				hypothetical protein
WSM1022_00089	CDS	1290	rsmB_1	2.1.1.176		Ribosomal RNA small subunit methyltransferase B
WSM1022_00090	CDS	375	rlpA_1	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
WSM1022_00091	CDS	876	yeeZ		COG0451	Protein YeeZ
WSM1022_00092	CDS	1164	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
WSM1022_00093	CDS	669	fzlA			FtsZ-localized protein A
WSM1022_00094	CDS	807	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
WSM1022_00095	CDS	162				hypothetical protein
WSM1022_00096	CDS	981				hypothetical protein
WSM1022_00097	CDS	288				hypothetical protein
WSM1022_00098	CDS	705	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
WSM1022_00099	CDS	582				hypothetical protein
WSM1022_00100	CDS	603	olsG	2.1.1.344		Ornithine lipid N-methyltransferase
WSM1022_00101	CDS	1119	dnaN			Beta sliding clamp
WSM1022_00102	CDS	1107	rsmI	2.1.1.198		Ribosomal RNA small subunit methyltransferase I
WSM1022_00103	CDS	369				hypothetical protein
WSM1022_00104	CDS	948	gshB_1	6.3.2.3	COG0189	Glutathione synthetase
WSM1022_00105	CDS	1533	comM		COG0606	Competence protein ComM
WSM1022_00106	CDS	966				IS110 family transposase ISEc32
WSM1022_00107	CDS	969	cysK1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
WSM1022_00108	CDS	618	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
WSM1022_00109	CDS	633	rhtB_2		COG1280	Homoserine/homoserine lactone efflux protein
WSM1022_00110	CDS	915				hypothetical protein
WSM1022_00111	CDS	438	lrpC		COG1522	HTH-type transcriptional regulator LrpC
WSM1022_00112	CDS	483	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
WSM1022_00113	CDS	1584	prfC		COG4108	Peptide chain release factor RF3
WSM1022_00114	CDS	897				hypothetical protein
WSM1022_00115	CDS	810				hypothetical protein
WSM1022_00116	CDS	984				hypothetical protein
WSM1022_00117	CDS	405				hypothetical protein
WSM1022_00118	CDS	801	iolB	5.3.1.30	COG3718	5-deoxy-glucuronate isomerase
WSM1022_00119	CDS	903	iolE_1	4.2.1.44	COG1082	Inosose dehydratase
WSM1022_00120	CDS	1854	iolD	3.7.1.22	COG3962	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase
WSM1022_00121	CDS	1953	iolC	2.7.1.92		5-dehydro-2-deoxygluconokinase
WSM1022_00122	CDS	855				hypothetical protein
WSM1022_00123	CDS	183				hypothetical protein
WSM1022_00124	CDS	1131	iolG_2	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
WSM1022_00125	CDS	816	egtC	3.5.1.118	COG0121	Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
WSM1022_00126	CDS	1269	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
WSM1022_00127	CDS	651				hypothetical protein
WSM1022_00128	CDS	459	ywnA_1		COG1959	Putative HTH-type transcriptional regulator YwnA
WSM1022_00129	CDS	906	trxB_1	1.8.1.9		Thioredoxin reductase
WSM1022_00130	CDS	606				hypothetical protein
WSM1022_00131	CDS	780	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
WSM1022_00132	CDS	1575	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
WSM1022_00133	CDS	813	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
WSM1022_00134	CDS	906	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
WSM1022_00135	CDS	774	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
WSM1022_00136	CDS	267	rpsT		COG0268	30S ribosomal protein S20
WSM1022_00137	CDS	1524	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
WSM1022_00138	CDS	375				hypothetical protein
WSM1022_00139	CDS	1272				hypothetical protein
WSM1022_00140	CDS	483				hypothetical protein
WSM1022_00141	tRNA	97				tRNA-Arg(ccg)
WSM1022_00142	CDS	1182	hemW		COG0635	Heme chaperone HemW
WSM1022_00143	CDS	645	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
WSM1022_00144	CDS	414				hypothetical protein
WSM1022_00145	CDS	720	rph	2.7.7.56	COG0689	Ribonuclease PH
WSM1022_00146	CDS	1080	hrcA		COG1420	Heat-inducible transcription repressor HrcA
WSM1022_00147	CDS	627	grpE		COG0576	Protein GrpE
WSM1022_00148	CDS	465	ptsN		COG1762	Nitrogen regulatory protein
WSM1022_00149	CDS	573	hpf			Ribosome hibernation promoting factor
WSM1022_00150	CDS	1545	rpoN2		COG1508	RNA polymerase sigma-54 factor 2
WSM1022_00151	CDS	813	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
WSM1022_00152	CDS	561	lptA			Lipopolysaccharide export system protein LptA
WSM1022_00153	CDS	669				hypothetical protein
WSM1022_00154	CDS	960				hypothetical protein
WSM1022_00155	CDS	312	ihfB		COG0776	Integration host factor subunit beta
WSM1022_00156	CDS	345				hypothetical protein
WSM1022_00157	CDS	459				hypothetical protein
WSM1022_00158	CDS	1170	rlmL	2.1.1.264		Ribosomal RNA large subunit methyltransferase K/L
WSM1022_00159	CDS	867	aviRb	2.1.1.208		23S rRNA (uridine(2479)-2'-O)-methyltransferase
WSM1022_00160	CDS	501	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
WSM1022_00161	CDS	2280	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
WSM1022_00162	CDS	891				hypothetical protein
WSM1022_00163	CDS	2286	tme	1.1.1.40	COG0280	NADP-dependent malic enzyme
WSM1022_00164	CDS	2751	mutS		COG0249	DNA mismatch repair protein MutS
WSM1022_00165	CDS	2850	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
WSM1022_00166	CDS	1608	murJ		COG0728	putative lipid II flippase MurJ
WSM1022_00167	CDS	390				hypothetical protein
WSM1022_00168	CDS	1065	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
WSM1022_00169	CDS	468				hypothetical protein
WSM1022_00170	CDS	567	nfuA			Fe/S biogenesis protein NfuA
WSM1022_00171	CDS	657	OSGEPL1	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial
WSM1022_00172	CDS	504	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
WSM1022_00173	CDS	879				hypothetical protein
WSM1022_00174	CDS	1419	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
WSM1022_00175	CDS	1056			COG1702	PhoH-like protein
WSM1022_00176	CDS	507	ybeY	3.1.-.-		Endoribonuclease YbeY
WSM1022_00177	CDS	1161				hypothetical protein
WSM1022_00178	CDS	1596	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
WSM1022_00179	CDS	420				hypothetical protein
WSM1022_00180	CDS	1281	metK	2.5.1.6		S-adenosylmethionine synthase
WSM1022_00181	CDS	771	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
WSM1022_00182	CDS	258				hypothetical protein
WSM1022_00183	CDS	432	ibpA_1		COG0071	Small heat shock protein IbpA
WSM1022_00184	CDS	945	rihA_1	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
WSM1022_00185	CDS	2367				hypothetical protein
WSM1022_00186	CDS	900	rbsK	2.7.1.15	COG0524	Ribokinase
WSM1022_00187	CDS	1206				hypothetical protein
WSM1022_00188	CDS	537	def_1	3.5.1.88	COG0242	Peptide deformylase
WSM1022_00189	CDS	936	fmt_1	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
WSM1022_00190	CDS	744	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
WSM1022_00191	CDS	597				hypothetical protein
WSM1022_00192	CDS	1194	dapE_1	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
WSM1022_00193	CDS	3186	oqxB5			multidrug efflux RND transporter permease subunit OqxB5
WSM1022_00194	CDS	1209	bepF_1			Efflux pump periplasmic linker BepF
WSM1022_00195	CDS	816				hypothetical protein
WSM1022_00196	CDS	909	dmlR_1			HTH-type transcriptional regulator DmlR
WSM1022_00197	CDS	405				hypothetical protein
WSM1022_00198	CDS	318	gdx_1		COG2076	Guanidinium exporter
WSM1022_00199	CDS	1893	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
WSM1022_00200	CDS	126				hypothetical protein
WSM1022_00201	CDS	387				hypothetical protein
WSM1022_00202	CDS	858	dapD	2.3.1.117		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
WSM1022_00203	CDS	900				hypothetical protein
WSM1022_00204	CDS	777				hypothetical protein
WSM1022_00205	CDS	915				hypothetical protein
WSM1022_00206	CDS	1128	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
WSM1022_00207	CDS	771			COG2513	putative protein
WSM1022_00208	CDS	888	argB	2.7.2.8	COG0548	Acetylglutamate kinase
WSM1022_00209	CDS	714				hypothetical protein
WSM1022_00210	CDS	495	msrB_1	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
WSM1022_00211	CDS	540				hypothetical protein
WSM1022_00212	CDS	654	engB		COG0218	putative GTP-binding protein EngB
WSM1022_00213	CDS	183				hypothetical protein
WSM1022_00214	CDS	1785	yidC		COG0706	Membrane protein insertase YidC
WSM1022_00215	CDS	399	rnpA	3.1.26.5		Ribonuclease P protein component
WSM1022_00216	CDS	1998				hypothetical protein
WSM1022_00217	CDS	801				hypothetical protein
WSM1022_00218	CDS	1422	merA	1.16.1.1		Mercuric reductase
WSM1022_00219	CDS	1521	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
WSM1022_00220	tRNA	77				tRNA-Arg(acg)
WSM1022_00221	CDS	324				hypothetical protein
WSM1022_00222	CDS	246				hypothetical protein
WSM1022_00223	CDS	714	radA_1			DNA repair protein RadA
WSM1022_00224	CDS	696	tetR			Tetracycline repressor protein class H
WSM1022_00225	CDS	489				hypothetical protein
WSM1022_00226	CDS	618				hypothetical protein
WSM1022_00227	CDS	1146	lldD_1	1.1.-.-	COG1304	Putative L-lactate dehydrogenase
WSM1022_00228	CDS	2808				hypothetical protein
WSM1022_00229	CDS	2475				hypothetical protein
WSM1022_00230	CDS	1671	btaE			Autotransporter adhesin BtaE
WSM1022_00231	CDS	570				hypothetical protein
WSM1022_00232	CDS	672				hypothetical protein
WSM1022_00233	CDS	471				hypothetical protein
WSM1022_00234	CDS	678				hypothetical protein
WSM1022_00235	CDS	108				hypothetical protein
WSM1022_00236	CDS	432				hypothetical protein
WSM1022_00237	CDS	987	iolS	1.1.1.-	COG0667	Aldo-keto reductase IolS
WSM1022_00238	CDS	585				hypothetical protein
WSM1022_00239	CDS	3702	putA		COG0506	Bifunctional protein PutA
WSM1022_00240	CDS	315				hypothetical protein
WSM1022_00241	CDS	807	cpdA_1	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
WSM1022_00242	CDS	462				hypothetical protein
WSM1022_00243	CDS	615				hypothetical protein
WSM1022_00244	CDS	1872				hypothetical protein
WSM1022_00245	CDS	705	crp		COG0664	CRP-like cAMP-activated global transcriptional regulator
WSM1022_00246	CDS	438	yqjF_1		COG2259	Inner membrane protein YqjF
WSM1022_00247	CDS	429	fucU_1	5.1.3.29	COG4154	L-fucose mutarotase
WSM1022_00248	CDS	1230				hypothetical protein
WSM1022_00249	CDS	1026	frcB			Fructose import binding protein FrcB
WSM1022_00250	CDS	1083	frcC		COG1172	Fructose import permease protein FrcC
WSM1022_00251	CDS	783	frcA_1	7.5.2.-	COG1129	Fructose import ATP-binding protein FrcA
WSM1022_00252	CDS	621	coaA_1	2.7.1.33		Pantothenate kinase
WSM1022_00253	CDS	1044	pyrC_1	3.5.2.3	COG0418	Dihydroorotase
WSM1022_00254	CDS	699	pyrE_1	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
WSM1022_00255	CDS	927	scrK	2.7.1.4	COG0524	Fructokinase
WSM1022_00256	CDS	1626	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
WSM1022_00257	CDS	1701	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
WSM1022_00258	CDS	1236	ydhP_1		COG2814	Inner membrane transport protein YdhP
WSM1022_00259	CDS	1176	ydiK_1		COG0628	Putative transport protein YdiK
WSM1022_00260	CDS	666				hypothetical protein
WSM1022_00261	CDS	666				hypothetical protein
WSM1022_00262	CDS	942				hypothetical protein
WSM1022_00263	CDS	798				hypothetical protein
WSM1022_00264	CDS	573				hypothetical protein
WSM1022_00265	tRNA	76				tRNA-Thr(cgt)
WSM1022_00266	CDS	1011				hypothetical protein
WSM1022_00267	CDS	1161				hypothetical protein
WSM1022_00268	CDS	903		2.7.4.1	COG2326	Polyphosphate:ADP phosphotransferase 1
WSM1022_00269	CDS	1263	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
WSM1022_00270	CDS	1035	sphX		COG0226	Protein SphX
WSM1022_00271	CDS	1485				hypothetical protein
WSM1022_00272	CDS	1323				hypothetical protein
WSM1022_00273	CDS	807	pstB	7.3.2.1		Phosphate import ATP-binding protein PstB
WSM1022_00274	CDS	801	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
WSM1022_00275	CDS	684	phoB_1		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
WSM1022_00276	CDS	522				hypothetical protein
WSM1022_00277	CDS	1200	aruC	2.6.1.11	COG4992	Succinylornithine transaminase/acetylornithine aminotransferase
WSM1022_00278	CDS	912	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase, anabolic
WSM1022_00279	CDS	993	hslO		COG1281	33 kDa chaperonin
WSM1022_00280	CDS	393	apaG		COG2967	Protein ApaG
WSM1022_00281	CDS	612	ynjF		COG0558	Inner membrane protein YnjF
WSM1022_00282	CDS	1185	metZ	2.5.1.-	COG0626	O-succinylhomoserine sulfhydrylase
WSM1022_00283	CDS	1098	dcd	3.5.4.13		dCTP deaminase, dUMP-forming
WSM1022_00284	tRNA	75				tRNA-Gly(ccc)
WSM1022_00285	CDS	813				hypothetical protein
WSM1022_00286	CDS	411				hypothetical protein
WSM1022_00287	CDS	807				hypothetical protein
WSM1022_00288	CDS	657	lexA_1	3.4.21.88		LexA repressor
WSM1022_00289	CDS	1086	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
WSM1022_00290	CDS	510			COG1733	putative HTH-type transcriptional regulator
WSM1022_00291	CDS	474				hypothetical protein
WSM1022_00292	CDS	2214	fadJ_1		COG1024	Fatty acid oxidation complex subunit alpha
WSM1022_00293	CDS	1209	fadA_1	2.3.1.-	COG0183	Putative acyltransferase
WSM1022_00294	CDS	1797	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
WSM1022_00295	CDS	3663				hypothetical protein
WSM1022_00296	CDS	327				hypothetical protein
WSM1022_00297	CDS	927				hypothetical protein
WSM1022_00298	tRNA	97				tRNA-Tyr(gta)
WSM1022_00299	CDS	237				hypothetical protein
WSM1022_00300	CDS	729				hypothetical protein
WSM1022_00301	CDS	2541	srmB	3.6.4.13		ATP-dependent RNA helicase SrmB
WSM1022_00302	CDS	507	nsrR_1			HTH-type transcriptional repressor NsrR
WSM1022_00303	CDS	462				hypothetical protein
WSM1022_00304	CDS	636				hypothetical protein
WSM1022_00305	CDS	939				hypothetical protein
WSM1022_00306	CDS	327				hypothetical protein
WSM1022_00307	CDS	504				hypothetical protein
WSM1022_00308	CDS	1368	dinF		COG0534	DNA damage-inducible protein F
WSM1022_00309	CDS	1089	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
WSM1022_00310	CDS	375				hypothetical protein
WSM1022_00311	CDS	438				hypothetical protein
WSM1022_00312	CDS	648	degU_1		COG2197	Transcriptional regulatory protein DegU
WSM1022_00313	CDS	3507	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
WSM1022_00314	CDS	429	mscL		COG1970	Large-conductance mechanosensitive channel
WSM1022_00315	CDS	1167	aspC_1	2.6.1.1	COG0436	Aspartate aminotransferase
WSM1022_00316	CDS	1029	galE_1	5.1.3.2	COG1087	UDP-glucose 4-epimerase
WSM1022_00317	CDS	306	pchB	4.2.99.21	COG1605	Isochorismate pyruvate lyase
WSM1022_00318	CDS	1005	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
WSM1022_00319	CDS	1413				hypothetical protein
WSM1022_00320	CDS	1170	hipO_1	3.5.1.32	COG1473	Hippurate hydrolase
WSM1022_00321	CDS	825				hypothetical protein
WSM1022_00322	CDS	726	hisQ_1		COG4215	Histidine transport system permease protein HisQ
WSM1022_00323	CDS	810	argT		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
WSM1022_00324	CDS	774	occP_1			Octopine permease ATP-binding protein P
WSM1022_00325	CDS	615	betI_1		COG1309	HTH-type transcriptional regulator BetI
WSM1022_00326	CDS	1191	aruH	2.6.1.84	COG0436	Arginine--pyruvate transaminase AruH
WSM1022_00327	CDS	1614	aruI	4.1.1.75	COG0028	putative 2-ketoarginine decarboxylase AruI
WSM1022_00328	CDS	423				hypothetical protein
WSM1022_00329	CDS	2535	secDF		COG0341	Protein translocase subunit SecDF
WSM1022_00330	CDS	219				hypothetical protein
WSM1022_00331	CDS	456			COG1959	Putative HTH-type transcriptional regulator
WSM1022_00332	CDS	1011	kdsD_1	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
WSM1022_00333	CDS	1326				hypothetical protein
WSM1022_00334	CDS	1617				hypothetical protein
WSM1022_00335	CDS	804	acr1	1.2.1.-	COG3320	Fatty acyl-CoA reductase
WSM1022_00336	CDS	1416	bioF_1	2.3.1.47		8-amino-7-oxononanoate synthase
WSM1022_00337	CDS	7509	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
WSM1022_00338	CDS	1188				hypothetical protein
WSM1022_00339	CDS	600	pncA	3.5.1.19	COG1335	Nicotinamidase
WSM1022_00340	CDS	1305	pncB	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase
WSM1022_00341	CDS	213				hypothetical protein
WSM1022_00342	CDS	147				hypothetical protein
WSM1022_00343	CDS	378				hypothetical protein
WSM1022_00344	CDS	228				hypothetical protein
WSM1022_00345	CDS	1443				hypothetical protein
WSM1022_00346	CDS	1350	ftsP			Cell division protein FtsP
WSM1022_00347	CDS	480				hypothetical protein
WSM1022_00348	CDS	285				hypothetical protein
WSM1022_00349	CDS	1248				hypothetical protein
WSM1022_00350	tRNA	75				tRNA-Thr(ggt)
WSM1022_00351	CDS	210				hypothetical protein
WSM1022_00352	CDS	1293	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
WSM1022_00353	CDS	441				hypothetical protein
WSM1022_00354	CDS	1305	hisD_1	1.1.1.23		Histidinol dehydrogenase
WSM1022_00355	CDS	477				hypothetical protein
WSM1022_00356	CDS	480	arsC_1	1.20.4.4		Arsenate reductase
WSM1022_00357	CDS	219	infA			Translation initiation factor IF-1
WSM1022_00358	CDS	621	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
WSM1022_00359	CDS	213	yacG			DNA gyrase inhibitor YacG
WSM1022_00360	tRNA	76				tRNA-Phe(gaa)
WSM1022_00361	CDS	1101				hypothetical protein
WSM1022_00362	CDS	1083				hypothetical protein
WSM1022_00363	CDS	312				hypothetical protein
WSM1022_00364	CDS	96				hypothetical protein
WSM1022_00365	CDS	390				hypothetical protein
WSM1022_00366	CDS	462				hypothetical protein
WSM1022_00367	CDS	189				hypothetical protein
WSM1022_00368	CDS	255				hypothetical protein
WSM1022_00369	CDS	1293				hypothetical protein
WSM1022_00370	CDS	2100	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
WSM1022_00371	CDS	813	ulaR		COG1349	HTH-type transcriptional regulator UlaR
WSM1022_00372	CDS	990	lsrB_1			Autoinducer 2-binding protein LsrB
WSM1022_00373	CDS	1512	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
WSM1022_00374	CDS	981	lsrC_1		COG1172	Autoinducer 2 import system permease protein LsrC
WSM1022_00375	CDS	1005	lsrD_1			Autoinducer 2 import system permease protein LsrD
WSM1022_00376	CDS	315	rhaM_1	5.1.3.32		L-rhamnose mutarotase
WSM1022_00377	CDS	1389	fucK_1	2.7.1.51		L-fuculokinase
WSM1022_00378	CDS	1602				hypothetical protein
WSM1022_00379	CDS	294				hypothetical protein
WSM1022_00380	CDS	366	cheY_1		COG0784	Chemotaxis protein CheY 
WSM1022_00381	CDS	2277	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
WSM1022_00382	CDS	468	cheW_1		COG0835	Chemotaxis protein CheW
WSM1022_00383	CDS	909	cheR	2.1.1.80		Chemotaxis protein methyltransferase
WSM1022_00384	CDS	1050	cheB_1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
WSM1022_00385	CDS	390	cheY_2		COG0784	Chemotaxis protein CheY 
