Genotype,Rep,Nema,Rhizo,Rack,id,Block Shelf,Block Row,Block Side,Block Position,Block Col,Block HDate,Block NodPlucker,Biomass Weighing Date,Above ground biomass,agb old,old scale measurements,Galls,Nods,Counter,Scanner,Scan Date,Nods Removed,Below ground biomass,Notes/Comments
HM145,17,+,WSM1022,Ex. 22 +,id:36,Bot,NA,LEFT,MD,NA,11-Apr,MC,6/12/24,0.2429,0.2429,,7,72,ADBM,ADBM,6/28/24,0,0.0596,
HM145,18,+,WSM1022,Ex. 22 +,id:37,Bot,NA,LEFT,MD,NA,11-Apr,ADBM,6/12/24,0.2042,0.2042,,7,53,ADBM,ADBM,6/28/24,0,0.0559,
HM145,19,+,WSM1022,Ex. 22 +,id:38,Bot,NA,LEFT,MD,NA,11-Apr,MC,6/12/24,0.0452,0.0452,,3,22,ADBM,ADBM,6/28/24,0,0.0211,
HM145,9,-,USDA1021,Ex. 21 -,id:47,Top,NA,RIGHT,FD,NA,11-Apr,ADBM,6/12/24,0.1399,0.1399,,,52,ADBM,ADBM,26-Jun,0,0.0488,
HM145,10,-,USDA1021,Ex. 21 -,id:48,Top,NA,RIGHT,FD,NA,11-Apr,ADBM,6/12/24,0.2009,0.2009,,,36,ADBM,CZ,,0,0.0457,
HM145,11,-,USDA1021,Ex. 21 -,id:49,Top,NA,RIGHT,FD,NA,11-Apr,ADBM,6/12/24,0.0567,0.0567,,,35,ADBM,CZ,,0,0.0217,
HM145,12,-,USDA1021,Ex. 21 -,id:50,Top,NA,RIGHT,FD,NA,11-Apr,ADBM,6/12/24,0.2191,0.2191,,,45,ADBM,ADBM,26-Jun,0,0.058,
HM145,13,-,USDA1021,Ex. 21 -,id:51,Top,NA,RIGHT,FD,NA,11-Apr,ADBM,6/12/24,0.1937,0.1937,,,41,ADBM,ADBM,26-Jun,0,0.0635,
HM145,14,-,USDA1021,Ex. 21 -,id:52,Top,NA,RIGHT,FD,NA,11-Apr,ADBM,6/12/24,0.1879,0.1879,,,26,ADBM,ADBM,26-Jun,0,0.0502,
HM145,15,-,USDA1021,Ex. 21 -,id:53,Top,NA,RIGHT,FD,NA,11-Apr,ADBM,6/12/24,0.0936,0.0936,,,18,ADBM,ADBM,26-Jun,0,0.0273,
HM145,16,-,USDA1021,Ex. 21 -,id:54,Top,NA,RIGHT,FD,NA,11-Apr,ADBM,6/12/24,0.2301,0.2301,,,57,ADBM,ADBM,26-Jun,0,0.059,
HM145,17,-,USDA1021,Ex. 21 -,id:55,Top,NA,RIGHT,FD,NA,11-Apr,ADBM,6/12/24,0.1187,0.1187,,,17,ADBM,CZ,,0,0.0313,
HM145,18,-,USDA1021,Ex. 21 -,id:56,Top,NA,RIGHT,FD,NA,11-Apr,ADBM,6/12/24,,,,,,,,,0,,dead
HM145,19,-,USDA1021,Ex. 21 -,id:57,Top,NA,RIGHT,FD,NA,11-Apr,ADBM,6/12/24,0.0839,0.0839,,,17,ADBM,ADBM,26-Jun,0,0.0236,
HM145,9,-,WSM1022,Ex. 22 -,id:66,Bot,NA,LEFT,FD,NA,11-Apr,ADBM,6/12/24,0.3127,0.3127,,,78,ADBM,ADBM,26-Jun,0,0.0845,
HM145,10,-,WSM1022,Ex. 22 -,id:67,Bot,NA,LEFT,FD,NA,11-Apr,ADBM,6/12/24,0.3174,0.3174,,,49,ADBM,ADBM,26-Jun,0,0.0859,
HM145,11,-,WSM1022,Ex. 22 -,id:68,Bot,NA,LEFT,FD,NA,11-Apr,ADBM,6/12/24,0.1219,0.1219,,,32,ADBM,ADBM,26-Jun,0,0.0175,
HM145,12,-,WSM1022,Ex. 22 -,id:69,Bot,NA,LEFT,FD,NA,11-Apr,ADBM,6/12/24,0.0657,0.0657,,,90,ADBM,ADBM,26-Jun,0,0.0394,
HM145,13,-,WSM1022,Ex. 22 -,id:70,Bot,NA,LEFT,FD,NA,11-Apr,MC,6/12/24,0.3007,0.3007,,,52,ADBM,ADBM,26-Jun,0,0.06,
HM145,14,-,WSM1022,Ex. 22 -,id:71,Bot,NA,LEFT,FD,NA,11-Apr,ADBM,6/12/24,,,,,,,,,0,,dead
HM145,15,-,WSM1022,Ex. 22 -,id:72,Bot,NA,LEFT,FD,NA,11-Apr,MC,6/12/24,0.1888,0.1888,,,54,ADBM,ADBM,26-Jun,0,0.0638,
HM145,16,-,WSM1022,Ex. 22 -,id:73,Bot,NA,LEFT,FD,NA,11-Apr,ADBM,6/12/24,0.1577,0.1577,,,59,ADBM,ADBM,26-Jun,0,0.0622,
HM145,17,-,WSM1022,Ex. 22 -,id:74,Bot,NA,LEFT,FD,NA,11-Apr,MC,6/12/24,0.1746,0.1746,,,55,ADBM,ADBM,26-Jun,0,0.0578,
HM145,18,-,WSM1022,Ex. 22 -,id:75,Bot,NA,LEFT,FD,NA,11-Apr,ADBM,6/12/24,0.3164,0.3164,,,79,ADBM,ADBM,26-Jun,0,0.1023,
HM145,19,-,WSM1022,Ex. 22 -,id:76,Bot,NA,LEFT,FD,NA,11-Apr,MC,6/12/24,0.2327,0.2327,,,68,ADBM,CZ,,0,0.0498,
